"column","variable","label","value_labels","class","type","n_na","range"
"327","v4_consumed_broccoli_g","Visit 4 - Broccoli: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","8","c(0, 255.66)"
"328","v4_consumed_broccoli_kcal","Visit 4 - ps_meal broccoli: Amount Consumed kcal - calculated in R","NULL","numeric","double","8","c(0, 256.42698)"
"329","v4_noplate_ketchup_g","Visit 4 - Ketchup: Pre-Weight of Container","NULL","numeric","double","8","c(44.3, 51.58)"
"330","v4_plate_ketchup_g","Visit 4 - Ketchup: Pre-Weight of Ketchup w/ Container","NULL","numeric","double","8","c(46.49, 53.67)"
"331","v4_post_ketchup_g","Visit 4 - Ketchup: Post-Weight","NULL","numeric","double","9","c(4.51, 53.58)"
"332","v4_consumed_ketchup_g","Visit 4 - Ketchup: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","9","c(0, 46.93)"
"333","v4_consumed_ketchup_kcal","Visit 4 - ps_meal ketchup: Amount Consumed kcal - calculated in R","NULL","numeric","double","9","c(0, 54.76731)"
"334","v4_noplate_water_g","Visit 4 - Water: Pre-Weight of Container","NULL","numeric","double","8","c(230.17, 513.33)"
"335","v4_plate_water_g","Visit 4 - Water: Pre-Weight of Container w/ Water","NULL","numeric","double","8","c(263.14, 574.43)"
"336","v4_post_water_g","Visit 4 - Water: Post-Weight","NULL","numeric","double","8","c(45.74, 455.36)"
"337","v4_consumed_water_g","Visit 4 - Water: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","8","c(0, 253.31)"
"338","v4_total_g","Visit 4 - ps_meal Total: Amount Consumed g - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","9","c(54.07, 929.71)"
"339","v4_total_kcal","Visit 4 - ps_meal Total: Amount Consumed kcal - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","9","c(52.9790799999999, 1491.34645)"
"340","v5_date","start_date from qualtrics survey meta-data converted to format yyyy-mm-dd in R","NULL","Date","double","7","c(17626, 18997)"
"341","v5_freddy_pre_meal","Visit 5 - Freddy Score - Pre-Meal","NULL","numeric","double","8","c(0, 128)"
"342","v5_freddy_post_meal","Visit 5 - Freddy Score - Post-Meal","NULL","numeric","double","8","c(0, 150)"
"343","v5_vas_mac_cheese","Visit 5 - VAS Macaroni and Cheese","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(1, 5)"
"344","v5_vas_chkn_nug","Visit 5 - VAS Chicken Nugget","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(1, 5)"
"345","v5_vas_broccoli","Visit 5 - VAS Broccoli","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(1, 5)"
"346","v5_vas_grape","Visit 5 - VAS Grape","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(1, 5)"
"347","v5_vas_water","Visit 5 - VAS Water","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(1, 5)"
"348","v5_rank_mac_cheese","Visit 5 - Ranking - Macaroni and cheese","NULL","numeric","double","42","c(1, 4)"
"349","v5_rank_chkn_nug","Visit 5 - Ranking - Chicken nugget","NULL","numeric","double","42","c(1, 4)"
"350","v5_rank_broccoli","Visit 5 - Ranking - Broccoli","NULL","numeric","double","42","c(1, 4)"
"351","v5_rank_grape","Visit 5 - Ranking - Grapes","NULL","numeric","double","42","c(1, 4)"
"352","v5_meal_start","Visit 5 - Meal start time","NULL","character","character","7","c("""", ""613"")"
"353","v5_meal_end","Visit 5 - Meal end time","NULL","character","character","7","c("""", ""835"")"
"354","v5_meal_dur","Visit 5 - Meal Duration","NULL","numeric","double","8","c(4, 30)"
"355","v5_meal_ps","Visit 5 - Visit 5 Portion Size Meal Condition","c(ps1 = 0, ps2 = 1, ps3 = 2, ps4 = 3)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","8","c(0, 3)"
"356","v5_noplate_chkn_nug_g","Visit 5 - Chicken Nugget: Pre-Weight w/o Plate","NULL","numeric","double","8","c(100.36, 207.66)"
"357","v5_plate_chkn_nug_g","Visit 5 - Chicken Nuggets: Pre-Weight w/ Plate","NULL","numeric","double","8","c(263.38, 558.96)"
"358","v5_post_chkn_nug_g","Visit 5 - Chicken Nuggets: Post-Weight","NULL","numeric","double","8","c(0, 521.69)"
"359","v5_consumed_chkn_nug_g","Visit 5 - Chicken Nuggets: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","8","c(0, 495.8)"
"360","v5_consumed_chkn_nug_kcal","Visit 5 - ps_meal chkn_nug: Amount Consumed kcal - calculated in R","NULL","numeric","double","8","c(0, 1239.5)"
"361","v5_noplate_mac_cheese_g","Visit 5 - Mac and Cheese: Pre-Weight w/o Plate","NULL","numeric","double","8","c(251.08, 513.78)"
"362","v5_plate_mac_cheese_g","Visit 5 - Mac and Cheese: Pre-Weight w/ Plate","NULL","numeric","double","8","c(367.06, 848.35)"
"363","v5_post_mac_cheese_g","Visit 5 - Mac and Cheese: Post-Weight","NULL","numeric","double","8","c(328.57, 832.63)"
"364","v5_consumed_mac_cheese_g","Visit 5 - Mac and Cheese: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","8","c(0, 412.74)"
"365","v5_consumed_mac_cheese_kcal","Visit 5 - ps_meal mac_cheese: Amount Consumed kcal - calculated in R","NULL","numeric","double","8","c(0, 701.658)"
"366","v5_noplate_grapes_g","Visit 5 - Grapes: Pre-Weight w/o Bowl","NULL","numeric","double","8","c(200.02, 399.34)"
"367","v5_plate_grapes_g","Visit 5 - Grapes: Pre-Weight w/ Bowl","NULL","numeric","double","8","c(348.54, 568.84)"
"368","v5_post_grapes_g","Visit 5 - Grapes: Post-Weight","NULL","numeric","double","8","c(165.68, 586.95)"
"369","v5_consumed_grapes_g","Visit 5 - Grapes: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","8","c(0, 317.58)"
"370","v5_consumed_grapes_kcal","Visit 5 - ps_meal grapes: Amount Consumed kcal - calculated in R","NULL","numeric","double","8","c(0, 220.7181)"
"371","v5_noplate_margerine_g","Visit 5 - Margarine: Pre-Weight w/o Bowl","NULL","numeric","double","8","c(18.38, 31.82)"
"372","v5_noplate_broccoli_g","Visit 5 - Broccoli: Pre-Weight w/o Bowl","NULL","numeric","double","8","c(178.47, 481)"
"373","v5_plate_broccoli_g","Visit 5 - Broccoli: Pre-Weight w/ Bowl","NULL","numeric","double","9","c(321.02, 562.56)"
"374","v5_post_broccoli_g","Visit 5 - Broccoli: Post-Weight","NULL","numeric","double","8","c(178.79, 552.93)"
"375","v5_consumed_broccoli_g","Visit 5 - Broccoli: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","9","c(0, 319.73)"
"376","v5_consumed_broccoli_kcal","Visit 5 - ps_meal broccoli: Amount Consumed kcal - calculated in R","NULL","numeric","double","9","c(0, 320.68919)"
"377","v5_noplate_ketchup_g","Visit 5 - Ketchup: Pre-Weight of Container","NULL","numeric","double","8","c(38.18, 50.07)"
"378","v5_plate_ketchup_g","Visit 5 - Ketchup: Pre-Weight of Ketchup w/ Container","NULL","numeric","double","8","c(46.13, 53.5)"
"379","v5_post_ketchup_g","Visit 5 - Ketchup: Post-Weight","NULL","numeric","double","8","c(4.23, 53.52)"
"380","v5_consumed_ketchup_g","Visit 5 - Ketchup: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","8","c(0, 48.02)"
"381","v5_consumed_ketchup_kcal","Visit 5 - ps_meal ketchup: Amount Consumed kcal - calculated in R","NULL","numeric","double","8","c(0, 56.03934)"
"382","v5_noplate_water_g","Visit 5 - Water: Pre-Weight of Container","NULL","numeric","double","8","c(230.5, 295.27)"
"383","v5_plate_water_g","Visit 5 - Water: Pre-Weight of Container w/ Water","NULL","numeric","double","8","c(262.91, 337.22)"
"384","v5_post_water_g","Visit 5 - Water: Post-Weight","NULL","numeric","double","8","c(43.27, 307.33)"
"385","v5_consumed_water_g","Visit 5 - Water: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","8","c(0, 264.49)"
"386","v5_total_g","Visit 5 - ps_meal Total: Amount Consumed g - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","9","c(50.0400000000001, 1033.03)"
"387","v5_total_kcal","Visit 5 - ps_meal Total: Amount Consumed kcal - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","9","c(71.8650700000001, 1608.29848)"
"388","v7_date","start_date from qualtrics survey meta-data converted to format yyyy-mm-dd in R","NULL","Date","double","42","c(18032, 18835)"
"389","v7_freddy_pre_meal","Visit 7 - Freddy Score - EAH Pre-Meal","NULL","numeric","double","42","c(0, 134)"
"390","v7_freddy_post_meal","Visit 7 - Freddy Score - EAH Post-Meal","NULL","numeric","double","42","c(32, 150)"
"391","v7_freddy_pre_want","Visit 7 - Freddy Score - EAH Pre-Wanting","NULL","numeric","double","45","c(19, 150)"
"392","v7_freddy_pre_eah","Visit 7 - Freddy Score - EAH Pre-Snack","NULL","numeric","double","42","c(12, 137)"
"393","v7_freddy_post_eah","Visit 7 - Freddy Score - EAH Post-Snack","NULL","numeric","double","42","c(31, 150)"
"394","v7_vas_practice","Visit 7 - EAH VAS Practice","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(1, 5)"
"395","v7_vas_popcorn","Visit 7 - EAH VAS Popcorn","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(2, 5)"
"396","v7_vas_pretzle","Visit 7 - EAH VAS Pretzel","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(3, 5)"
"397","v7_vas_cornchip","Visit 7 - EAH VAS Corn Chip","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(2, 5)"
"398","v7_vas_cookie","Visit 7 - EAH VAS Chocolate Chip Cookie","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(3, 5)"
"399","v7_vas_brownie","Visit 7 - EAH VAS Brownie","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(2, 5)"
"400","v7_vas_starburst","Visit 7 - EAH VAS Starburst","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(3, 5)"
"401","v7_vas_skittle","Visit 7 - EAH VAS Skittle","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(1, 5)"
"402","v7_vas_hershey","Visit 7 - EAH VAS Hershey Kiss","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(3, 5)"
"403","v7_vas_icecream","Visit 7 - EAH VAS Vanilla Ice Cream","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(3, 5)"
"404","v7_vas_pbj_sndwch","Visit 7 - EAH VAS PBJ Sandwich","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(1, 5)"
"405","v7_vas_ham_sndwch","Visit 7 - EAH VAS Ham and Cheese Sandwich","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(1, 5)"
"406","v7_vas_turkey_sndwch","Visit 7 - EAH VAS Turkey and Cheese Sandwich","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(1, 5)"
"407","v7_vas_cheese_sndwch","Visit 7 - EAH VAS Cheese Sandwich","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(1, 5)"
"408","v7_vas_applesauce","Visit 7 - EAH VAS Applesauce","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(1, 5)"
"409","v7_vas_potatoechip","Visit 7 - EAH VAS Potato Chip","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(3, 5)"
"410","v7_vas_babycarrot","Visit 7 - EAH VAS Carrot","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(1, 5)"
"411","v7_vas_oreo","Visit 7 - EAH VAS Oreo","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(2, 5)"
"412","v7_vas_milk","Visit 7 - EAH VAS Milk","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(1, 5)"
"413","v7_vas_water","Visit 7 - EAH VAS Water","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","42","c(3, 5)"
"414","v7_meal_start","Visit 7 - EAH Pre-Meal","NULL","character","character","42","c(""1:08"", ""612"")"
"415","v7_meal_end","Visit 7 - End Time:","NULL","character","character","42","c(""1"", ""640"")"
"416","v7_meal_dur","Visit 7 - EAH - Pre-Meal Duration","NULL","numeric","double","42","c(10, 30)"
"417","v7_noplate_applesauce_g","Visit 7 - Meal Applesauce: Pre-Weight w/o Bowl","NULL","numeric","double","42","c(82.39, 111.98)"
"418","v7_plate_applesauce_g","Visit 7 - Meal Applesauce: Pre-Weight w/ Bowl","NULL","numeric","double","50","c(172.25, 217.26)"
"419","v7_post_applesauce_g","Visit 7 - Meal Applesauce: Post-Weight","NULL","numeric","double","42","c(92.33, 216.76)"
"420","v7_consumed_applesauce_g","Visit 7 - Meal Applesauce: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","50","c(0.299999999999983, 110.81)"
"421","v7_consumed_applesauce_kcal","Visit 7 - std_meal applesauce: Amount Consumed kcal - calculated in R","NULL","numeric","double","50","c(0.133499999999992, 49.31045)"
"422","v7_noplate_carrot_g","Visit 7 - Meal Carrots: Pre-Weight w/o Bowl","NULL","numeric","double","43","c(39.56, 94.55)"
"423","v7_plate_carrot_g","Visit 7 - Meal Carrots: Pre-Weight w/ Bowl","NULL","numeric","double","42","c(40.69, 184.41)"
"424","v7_post_carrot_g","Visit 7 - Meal Carrots: Post-Weight","NULL","numeric","double","42","c(89.79, 184.27)"
"425","v7_consumed_carrot_g","Visit 7 - Meal Carrots: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","42","c(0, 85.6)"
"426","v7_consumed_carrot_kcal","Visit 7 - std_meal carrot: Amount Consumed kcal - calculated in R","NULL","numeric","double","42","c(0, 35.6952)"
"427","v7_noplate_cheese_sndwch_g","Visit 7 - Meal Cheese Sandwich: Pre-Weight w/o Plate","NULL","numeric","double","42","c(79.62, 100.95)"
"428","v7_plate_cheese_sndwch_g","Visit 7 - Meal Cheese Sandwich: Pre-Weight w/ Plate","NULL","numeric","double","42","c(405.76, 450.66)"
"429","v7_post_cheese_sndwch_g","Visit 7 - Meal Cheese Sandwich: Post-Weight","NULL","numeric","double","42","c(326.16, 448.99)"
"430","v7_consumed_cheese_sndwch_g","Visit 7 - Meal Cheese Sandwich: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","42","c(0, 87.87)"
"431","v7_consumed_cheese_sndwch_kcal","Visit 7 - std_meal cheese_sndwch: Amount Consumed kcal - calculated in R","NULL","numeric","double","42","c(0, 242.08185)"
"432","v7_noplate_cookies_g","Visit 7 - Meal Cookies: Pre-Weight w/o Bowl","NULL","numeric","double","42","c(16.11, 23.35)"
