"column","variable","label","value_labels","class","type","n_na","range"
"633","ps2_noplate_grapes_g","Portion Size 2: Grapes: Pre-Weight w/o Bowl","NULL","character","character","6","c(""264.05"", ""365.34"")"
"634","ps2_plate_grapes_g","Portion Size 2: Grapes: Pre-Weight w/ Bowl","NULL","character","character","6","c(""430.06"", ""470.81"")"
"635","ps2_post_grapes_g","Portion Size 2: Grapes: Post-Weight","NULL","character","character","6","c(""179.37"", ""448.99"")"
"636","ps2_consumed_grapes_g","Portion Size 2: Grapes: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","6","c(""0.00999999999999091"", ""94.18"")"
"637","ps2_consumed_grapes_kcal","Portion Size 2: ps_meal grapes: Amount Consumed kcal - calculated in R","NULL","character","character","6","c(""0.00694999999999368"", ""96.7301"")"
"638","ps2_noplate_broccoli_g","Portion Size 2: Broccoli: Pre-Weight w/o Bowl","NULL","character","character","6","c(""238.28"", ""438.6"")"
"639","ps2_plate_broccoli_g","Portion Size 2: Broccoli: Pre-Weight w/ Bowl","NULL","character","character","7","c(""239.53"", ""461.26"")"
"640","ps2_post_broccoli_g","Portion Size 2: Broccoli: Post-Weight","NULL","character","character","6","c(""179.28"", ""438.4"")"
"641","ps2_consumed_broccoli_g","Portion Size 2: Broccoli: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","7","c(""0"", ""99.84"")"
"642","ps2_consumed_broccoli_kcal","Portion Size 2: ps_meal broccoli: Amount Consumed kcal - calculated in R","NULL","character","character","7","c(""0"", ""98.90583"")"
"643","ps2_noplate_ketchup_g","Portion Size 2: Ketchup: Pre-Weight of Container","NULL","character","character","6","c(""38.18"", ""51.58"")"
"644","ps2_plate_ketchup_g","Portion Size 2: Ketchup: Pre-Weight of Ketchup w/ Container","NULL","character","character","6","c(""46.13"", ""53.67"")"
"645","ps2_post_ketchup_g","Portion Size 2: Ketchup: Post-Weight","NULL","character","character","6","c(""11.81"", ""9.2"")"
"646","ps2_consumed_ketchup_g","Portion Size 2: Ketchup: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","6","c(""0"", ""7.52"")"
"647","ps2_consumed_ketchup_kcal","Portion Size 2: ps_meal ketchup: Amount Consumed kcal - calculated in R","NULL","character","character","6","c(""0"", ""8.77584"")"
"648","ps2_noplate_water_g","Portion Size 2: Water: Pre-Weight of Container","NULL","character","character","6","c(""230.17"", ""295.27"")"
"649","ps2_plate_water_g","Portion Size 2: Water: Pre-Weight of Water w/ Container","NULL","character","character","6","c(""253.62"", ""320.74"")"
"650","ps2_post_water_g","Portion Size 2: Water: Post-Weight","NULL","character","character","6","c(""113.28"", ""87.02"")"
"651","ps2_consumed_water_g","Portion Size 2: Water: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","6","c(""0"", ""87.68"")"
"652","ps2_total_g","Portion Size 2: ps_meal Total: Amount Consumed g - calculated in R. Set to NA if not all foods had available data","NULL","character","character","7","c(""114.24"", ""929.71"")"
"653","ps2_total_kcal","Portion Size 2: ps_meal Total: Amount Consumed kcal - calculated in R. Set to NA if not all foods had available data","NULL","character","character","7","c(""1095.78833"", ""993.42271"")"
"654","ps3_date","Portion Size 3: start_date from qualtrics survey meta-data converted to format yyyy-mm-dd in R","NULL","character","character","7","c(""2018-03-22"", ""2021-12-17"")"
"655","ps3_freddy_pre_meal","Portion Size 3: Freddy Score - Pre-Meal","NULL","character","character","7","c(""0"", ""92"")"
"656","ps3_freddy_post_meal","Portion Size 3: Freddy Score - Post-Meal","NULL","character","character","7","c(""100"", ""99"")"
"657","ps3_vas_mac_cheese","Portion Size 3: VAS Macaroni and Cheese","NULL","character","character","7","c(""1"", ""5"")"
"658","ps3_vas_chkn_nug","Portion Size 3: VAS Chicken Nugget","NULL","character","character","7","c(""1"", ""5"")"
"659","ps3_vas_broccoli","Portion Size 3: VAS Broccoli","NULL","character","character","7","c(""1"", ""5"")"
"660","ps3_vas_grape","Portion Size 3: VAS Grape","NULL","character","character","7","c(""1"", ""5"")"
"661","ps3_vas_water","Portion Size 3: VAS Water","NULL","character","character","7","c(""1"", ""5"")"
"662","ps3_rank_mac_cheese","Portion Size 3: Ranking - Macaroni and cheese","NULL","character","character","44","c(""1"", ""4"")"
"663","ps3_rank_chkn_nug","Portion Size 3: Ranking - Chicken nugget","NULL","character","character","44","c(""1"", ""4"")"
"664","ps3_rank_broccoli","Portion Size 3: Ranking - Broccoli","NULL","character","character","44","c(""1"", ""4"")"
"665","ps3_rank_grape","Portion Size 3: Ranking - Grapes","NULL","character","character","44","c(""1"", ""4"")"
"666","ps3_meal_start","Portion Size 3: Meal Start Time","NULL","character","character","7","c(""1:08"", ""613"")"
"667","ps3_meal_end","Portion Size 3: Meal End Time","NULL","character","character","7","c(""1:23"", ""835"")"
"668","ps3_meal_dur","Portion Size 3: Meal Duration","NULL","character","character","7","c(""10"", ""9"")"
"669","ps3_noplate_chkn_nug_g","Portion Size 3: Chicken Nugget: Pre-Weight w/o Plate","NULL","character","character","7","c(""156.13"", ""183.14"")"
"670","ps3_plate_chkn_nug_g","Portion Size 3: Chicken Nuggets: Pre-Weight w/ Plate","NULL","character","character","7","c(""325.84"", ""534.1"")"
"671","ps3_post_chkn_nug_g","Portion Size 3: Chicken Nuggets: Post-Weight","NULL","character","character","7","c(""194.03"", ""526.14"")"
"672","ps3_consumed_chkn_nug_g","Portion Size 3: Chicken Nuggets: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","7","c(""0"", ""96.73"")"
"673","ps3_consumed_chkn_nug_kcal","Portion Size 3: ps_meal chkn_nug: Amount Consumed kcal - calculated in R","NULL","character","character","7","c(""0"", ""9.80000000000004"")"
"674","ps3_noplate_mac_cheese_g","Portion Size 3: Mac and Cheese: Pre-Weight w/o Plate","NULL","character","character","7","c(""431.58"", ""436.18"")"
"675","ps3_plate_mac_cheese_g","Portion Size 3: Mac and Cheese: Pre-Weight w/ Plate","NULL","character","character","7","c(""738.91"", ""784.73"")"
"676","ps3_post_mac_cheese_g","Portion Size 3: Mac and Cheese: Post-Weight","NULL","character","character","7","c(""328.57"", ""780.33"")"
"677","ps3_consumed_mac_cheese_g","Portion Size 3: Mac and Cheese: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","7","c(""10.0300000000001"", ""9.03999999999996"")"
"678","ps3_consumed_mac_cheese_kcal","Portion Size 3: ps_meal mac_cheese: Amount Consumed kcal - calculated in R","NULL","character","character","7","c(""10.846"", ""99.9429999999999"")"
"679","ps3_noplate_grapes_g","Portion Size 3: Grapes: Pre-Weight w/o Bowl","NULL","character","character","7","c(""316.2"", ""338.76"")"
"680","ps3_plate_grapes_g","Portion Size 3: Grapes: Pre-Weight w/ Bowl","NULL","character","character","7","c(""479.4"", ""517.19"")"
"681","ps3_post_grapes_g","Portion Size 3: Grapes: Post-Weight","NULL","character","character","7","c(""179.32"", ""586.95"")"
"682","ps3_consumed_grapes_g","Portion Size 3: Grapes: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","7","c(""0"", ""95.36"")"
"683","ps3_consumed_grapes_kcal","Portion Size 3: ps_meal grapes: Amount Consumed kcal - calculated in R","NULL","character","character","7","c(""0"", ""97.61275"")"
"684","ps3_noplate_broccoli_g","Portion Size 3: Broccoli: Pre-Weight w/o Bowl","NULL","character","character","7","c(""189.61"", ""481"")"
"685","ps3_plate_broccoli_g","Portion Size 3: Broccoli: Pre-Weight w/ Bowl","NULL","character","character","7","c(""321.02"", ""78.6"")"
"686","ps3_post_broccoli_g","Portion Size 3: Broccoli: Post-Weight","NULL","character","character","7","c(""180.79"", ""502.17"")"
"687","ps3_consumed_broccoli_g","Portion Size 3: Broccoli: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","7","c(""0"", ""90"")"
"688","ps3_consumed_broccoli_kcal","Portion Size 3: ps_meal broccoli: Amount Consumed kcal - calculated in R","NULL","character","character","7","c(""0"", ""90.27"")"
"689","ps3_noplate_ketchup_g","Portion Size 3: Ketchup: Pre-Weight of Container","NULL","character","character","7","c(""2.24"", ""50.12"")"
"690","ps3_plate_ketchup_g","Portion Size 3: Ketchup: Pre-Weight of Ketchup w/ Container","NULL","character","character","7","c(""42.15"", ""58.4"")"
"691","ps3_post_ketchup_g","Portion Size 3: Ketchup: Post-Weight","NULL","character","character","7","c(""11.81"", ""8.49"")"
"692","ps3_consumed_ketchup_g","Portion Size 3: Ketchup: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","7","c(""0"", ""9.57"")"
"693","ps3_consumed_ketchup_kcal","Portion Size 3: ps_meal ketchup: Amount Consumed kcal - calculated in R","NULL","character","character","7","c(""0"", ""9.76779000000001"")"
"694","ps3_noplate_water_g","Portion Size 3: Water: Pre-Weight of Container","NULL","character","character","7","c(""225.18"", ""298.38"")"
"695","ps3_plate_water_g","Portion Size 3: Water: Pre-Weight of Water w/ Container","NULL","character","character","7","c(""264.97"", ""337.22"")"
"696","ps3_post_water_g","Portion Size 3: Water: Post-Weight","NULL","character","character","7","c(""118.62"", ""99.2"")"
"697","ps3_consumed_water_g","Portion Size 3: Water: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","7","c(""0"", ""92.16"")"
"698","ps3_total_g","Portion Size 3: ps_meal Total: Amount Consumed g - calculated in R. Set to NA if not all foods had available data","NULL","character","character","7","c(""140.98"", ""986.68"")"
"699","ps3_total_kcal","Portion Size 3: ps_meal Total: Amount Consumed kcal - calculated in R. Set to NA if not all foods had available data","NULL","character","character","7","c(""1057.5842"", ""967.44526"")"
"700","ps4_date","Portion Size 4: start_date from qualtrics survey meta-data converted to format yyyy-mm-dd in R","NULL","character","character","6","c(""2018-03-22"", ""2022-01-05"")"
"701","ps4_freddy_pre_meal","Portion Size 4: Freddy Score - Pre-Meal","NULL","character","character","7","c(""0"", ""94"")"
"702","ps4_freddy_post_meal","Portion Size 4: Freddy Score - Post-Meal","NULL","character","character","7","c(""1"", ""96"")"
"703","ps4_vas_mac_cheese","Portion Size 4: VAS Macaroni and Cheese","NULL","character","character","6","c(""1"", ""5"")"
"704","ps4_vas_chkn_nug","Portion Size 4: VAS Chicken Nugget","NULL","character","character","6","c(""1"", ""5"")"
"705","ps4_vas_broccoli","Portion Size 4: VAS Broccoli","NULL","character","character","6","c(""1"", ""5"")"
"706","ps4_vas_grape","Portion Size 4: VAS Grape","NULL","character","character","6","c(""1"", ""5"")"
"707","ps4_vas_water","Portion Size 4: VAS Water","NULL","character","character","6","c(""1"", ""5"")"
"708","ps4_rank_mac_cheese","Portion Size 4: Ranking - Macaroni and cheese","NULL","character","character","42","c(""1"", ""4"")"
"709","ps4_rank_chkn_nug","Portion Size 4: Ranking - Chicken nugget","NULL","character","character","42","c(""1"", ""4"")"
"710","ps4_rank_broccoli","Portion Size 4: Ranking - Broccoli","NULL","character","character","42","c(""1"", ""4"")"
"711","ps4_rank_grape","Portion Size 4: Ranking - Grapes","NULL","character","character","42","c(""1"", ""4"")"
"712","ps4_meal_start","Portion Size 4: Meal Start Time","NULL","character","character","6","c(""1:01"", ""6:16"")"
"713","ps4_meal_end","Portion Size 4: Meal End Time","NULL","character","character","6","c(""  5:19"", ""6:41"")"
"714","ps4_meal_dur","Portion Size 4: Meal Duration","NULL","character","character","6","c(""1"", ""9"")"
"715","ps4_noplate_chkn_nug_g","Portion Size 4: Chicken Nugget: Pre-Weight w/o Plate","NULL","character","character","6","c(""166.47"", ""221.19"")"
"716","ps4_plate_chkn_nug_g","Portion Size 4: Chicken Nuggets: Pre-Weight w/ Plate","NULL","character","character","6","c(""356.3"", ""566.25"")"
"717","ps4_post_chkn_nug_g","Portion Size 4: Chicken Nuggets: Post-Weight","NULL","character","character","6","c(""136.9"", ""556.96"")"
"718","ps4_consumed_chkn_nug_g","Portion Size 4: Chicken Nuggets: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","6","c(""0"", ""99.46"")"
"719","ps4_consumed_chkn_nug_kcal","Portion Size 4: ps_meal chkn_nug: Amount Consumed kcal - calculated in R","NULL","character","character","6","c(""0"", ""964.3"")"
"720","ps4_noplate_mac_cheese_g","Portion Size 4: Mac and Cheese: Pre-Weight w/o Plate","NULL","character","character","6","c(""511.58"", ""518.09"")"
"721","ps4_plate_mac_cheese_g","Portion Size 4: Mac and Cheese: Pre-Weight w/ Plate","NULL","character","character","6","c(""831.28"", ""865.78"")"
"722","ps4_post_mac_cheese_g","Portion Size 4: Mac and Cheese: Post-Weight","NULL","character","character","6","c(""461.65"", ""857.53"")"
"723","ps4_consumed_mac_cheese_g","Portion Size 4: Mac and Cheese: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","6","c(""0"", ""99.13"")"
"724","ps4_consumed_mac_cheese_kcal","Portion Size 4: ps_meal mac_cheese: Amount Consumed kcal - calculated in R","NULL","character","character","6","c(""0"", ""99.059"")"
"725","ps4_noplate_grapes_g","Portion Size 4: Grapes: Pre-Weight w/o Bowl","NULL","character","character","6","c(""382.84"", ""402.97"")"
"726","ps4_plate_grapes_g","Portion Size 4: Grapes: Pre-Weight w/ Bowl","NULL","character","character","6","c(""536.95"", ""585.45"")"
"727","ps4_post_grapes_g","Portion Size 4: Grapes: Post-Weight","NULL","character","character","6","c(""191"", ""579.57"")"
"728","ps4_consumed_grapes_g","Portion Size 4: Grapes: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","6","c(""0"", ""97.4"")"
"729","ps4_consumed_grapes_kcal","Portion Size 4: ps_meal grapes: Amount Consumed kcal - calculated in R","NULL","character","character","6","c(""0"", ""99.30855"")"
"730","ps4_noplate_broccoli_g","Portion Size 4: Broccoli: Pre-Weight w/o Bowl","NULL","character","character","6","c(""356.29"", ""554.15"")"
"731","ps4_plate_broccoli_g","Portion Size 4: Broccoli: Pre-Weight w/ Bowl","NULL","character","character","6","c(""358.69"", ""627.61"")"
"732","ps4_post_broccoli_g","Portion Size 4: Broccoli: Post-Weight","NULL","character","character","6","c(""183.65"", ""618.15"")"
"733","ps4_consumed_broccoli_g","Portion Size 4: Broccoli: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","6","c(""0"", ""91.8800000000001"")"
"734","ps4_consumed_broccoli_kcal","Portion Size 4: ps_meal broccoli: Amount Consumed kcal - calculated in R","NULL","character","character","6","c(""0"", ""92.15564"")"
"735","ps4_noplate_ketchup_g","Portion Size 4: Ketchup: Pre-Weight of Container","NULL","character","character","6","c(""2.27"", ""50.86"")"
"736","ps4_plate_ketchup_g","Portion Size 4: Ketchup: Pre-Weight of Ketchup w/ Container","NULL","character","character","6","c(""42.77"", ""54.54"")"
"737","ps4_post_ketchup_g","Portion Size 4: Ketchup: Post-Weight","NULL","character","character","7","c(""10.07"", ""8.9"")"
"738","ps4_consumed_ketchup_g","Portion Size 4: Ketchup: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","7","c(""0"", ""9.36"")"
"739","ps4_consumed_ketchup_kcal","Portion Size 4: ps_meal ketchup: Amount Consumed kcal - calculated in R","NULL","character","character","7","c(""0"", ""9.97785"")"
"740","ps4_noplate_water_g","Portion Size 4: Water: Pre-Weight of Container","NULL","character","character","6","c(""230.5"", ""513.33"")"
"741","ps4_plate_water_g","Portion Size 4: Water: Pre-Weight of Water w/ Container","NULL","character","character","6","c(""267.94"", ""574.43"")"
"742","ps4_post_water_g","Portion Size 4: Water: Post-Weight","NULL","character","character","6","c(""104.27"", ""81.54"")"
"743","ps4_consumed_water_g","Portion Size 4: Water: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","character","character","6","c(""0"", ""99.3"")"
"744","ps4_total_g","Portion Size 4: ps_meal Total: Amount Consumed g - calculated in R. Set to NA if not all foods had available data","NULL","character","character","7","c(""1001.36"", ""91.98"")"
"745","ps4_total_kcal","Portion Size 4: ps_meal Total: Amount Consumed kcal - calculated in R. Set to NA if not all foods had available data","NULL","character","character","7","c(""100.5952"", ""989.48821"")"
