sub	all_nGo	all_nNoGo	all_nAcc	all_pAcc	all_nGo_Hit	all_nGo_Miss	all_nNoGo_Corr	all_nNoGo_FA	all_pGo_Hit	all_pGo_Miss	all_pNoGo_Corr	all_pNoGo_FA	all_RTmeanGo_Hit	all_RTmeanNoGo_FA	all_RTmedGo_Hit	all_RTmedNoGo_FA	all_z_Hit	all_z_FA	all_z_Hit_mm	all_z_FA_mm	all_z_Hit_ll	all_z_FA_ll	all_d_prime_mm	all_d_prime_ll	all_A_prime_mm	all_A_prime_ll	all_c_mm	all_c_ll	all_Grier_beta_mm	all_Grier_beta_ll	b1_nGo	b1_nNoGo	b1_nAcc	b1_pAcc	b1_nGo_Hit	b1_nGo_Miss	b1_nNoGo_Corr	b1_nNoGo_FA	b1_pGo_Hit	b1_pGo_Miss	b1_pNoGo_Corr	b1_pNoGo_FA	b1_RTmeanGo_Hit	b1_RTmeanNoGo_FA	b1_RTmedGo_Hit	b1_RTmedNoGo_FA	b2_nGo	b2_nNoGo	b2_nAcc	b2_pAcc	b2_nGo_Hit	b2_nGo_Miss	b2_nNoGo_Corr	b2_nNoGo_FA	b2_pGo_Hit	b2_pGo_Miss	b2_pNoGo_Corr	b2_pNoGo_FA	b2_RTmeanGo_Hit	b2_RTmeanNoGo_FA	b2_RTmedGo_Hit	b2_RTmedNoGo_FA	b3_nGo	b3_nNoGo	b3_nAcc	b3_pAcc	b3_nGo_Hit	b3_nGo_Miss	b3_nNoGo_Corr	b3_nNoGo_FA	b3_pGo_Hit	b3_pGo_Miss	b3_pNoGo_Corr	b3_pNoGo_FA	b3_RTmeanGo_Hit	b3_RTmeanNoGo_FA	b3_RTmedGo_Hit	b3_RTmedNoGo_FA	b4_nGo	b4_nNoGo	b4_nAcc	b4_pAcc	b4_nGo_Hit	b4_nGo_Miss	b4_nNoGo_Corr	b4_nNoGo_FA	b4_pGo_Hit	b4_pGo_Miss	b4_pNoGo_Corr	b4_pNoGo_FA	b4_RTmeanGo_Hit	b4_RTmeanNoGo_FA	b4_RTmedGo_Hit	b4_RTmedNoGo_FA	b5_nGo	b5_nNoGo	b5_nAcc	b5_pAcc	b5_nGo_Hit	b5_nGo_Miss	b5_nNoGo_Corr	b5_nNoGo_FA	b5_pGo_Hit	b5_pGo_Miss	b5_pNoGo_Corr	b5_pNoGo_FA	b5_RTmeanGo_Hit	b5_RTmeanNoGo_FA	b5_RTmedGo_Hit	b5_RTmedNoGo_FA
117	150	50	164	0.82	130	20	34	16	0.867	0.133	0.68	0.32	537.254	390.25	517	390.5	1.111	-0.468	1.111	-0.468	1.1	-0.458	1.578	1.557	0.859	0.856	0.322	0.321	-0.306	-0.302	30	10	30	0.75	25	5	5	5	0.833	0.167	0.5	0.5	547.04	417.6	516	413	30	10	33	0.825	26	4	7	3	0.867	0.133	0.7	0.3	522.038	463	503	433	30	10	35	0.875	27	3	8	2	0.9	0.1	0.8	0.2	507.889	395	498	395	30	10	30	0.75	23	7	7	3	0.767	0.233	0.7	0.3	548.043	342	557	345	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	561.241	317	528	313
118	150	50	172	0.86	144	6	28	22	0.96	0.04	0.56	0.44	580.035	476.636	585	439.5	1.751	-0.151	1.751	-0.151	1.716	-0.148	1.902	1.864	0.868	0.865	0.8	0.784	-0.73	-0.714	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	599.643	411.6	610	432	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	582.724	589.5	601	541.5	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	598.207	531	625	392.5	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	591.067	533.25	537.5	509	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	527	362.6	534.5	365
119	150	50	174	0.87	149	1	25	25	0.993	0.007	0.5	0.5	471.51	381.72	474	341	2.475	0	2.475	0	2.329	0	2.475	2.329	0.871	0.869	1.237	1.164	-0.948	-0.924	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	542.1	327.667	541	303	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	446.067	352.667	440.5	341	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	477.767	377	467.5	397.5	30	10	33	0.825	30	0	3	7	1	0	0.3	0.7	483	384.143	491.5	357	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	406.448	425.167	400	339.5
120	150	50	165	0.825	147	3	18	32	0.98	0.02	0.36	0.64	452.327	364.406	442	364.5	2.054	0.358	2.054	0.358	1.992	0.351	1.695	1.641	0.823	0.821	1.206	1.172	-0.843	-0.822	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	407.552	405.571	396	367	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	483	328.667	453	316	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	398.31	382.286	405	406	30	10	33	0.825	30	0	3	7	1	0	0.3	0.7	455.833	376.286	477.5	345	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	515.759	308	523	297
121	150	50	183	0.915	147	3	36	14	0.98	0.02	0.72	0.28	563.306	392.429	550	389.5	2.054	-0.583	2.054	-0.583	1.992	-0.57	2.637	2.562	0.922	0.919	0.735	0.711	-0.823	-0.8	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	603.414	361	601	361	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	542.4	337	540	337	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	558.9	442.5	512	442.5	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	574.31	409	572	483	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	538.379	382.8	518	388
122	150	50	182	0.91	147	3	35	15	0.98	0.02	0.7	0.3	614.653	500.2	617	525	2.054	-0.524	2.054	-0.524	1.992	-0.513	2.578	2.505	0.916	0.914	0.765	0.739	-0.829	-0.807	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	612.5	383	626	383	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	606.4	578	601	577	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	603	502.333	623	525	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	675.75	505.2	714.5	529	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	578.483	451	605	465
123	150	50	193	0.965	149	1	44	6	0.993	0.007	0.88	0.12	514.06	430.667	496	422	2.475	-1.175	2.475	-1.175	2.329	-1.139	3.65	3.467	0.968	0.965	0.65	0.595	-0.882	-0.837	30	10	40	1	30	0	10	0	1	0	1	0	481.733		460.5		30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	526	445	503.5	445	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	521.621	434	492	434	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	505.667	485	512.5	485	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	535.533	393	544.5	393
124	150	50	159	0.795	145	5	14	36	0.967	0.033	0.28	0.72	474.703	372.806	436	359.5	1.834	0.583	1.834	0.583	1.794	0.57	1.251	1.224	0.784	0.782	1.208	1.182	-0.724	-0.706	30	10	32	0.8	30	0	2	8	1	0	0.2	0.8	459.9	403.125	440.5	372.5	30	10	31	0.775	29	1	2	8	0.967	0.033	0.2	0.8	486.621	402.375	439	403	30	10	33	0.825	30	0	3	7	1	0	0.3	0.7	476.267	282.857	415	320	30	10	33	0.825	27	3	6	4	0.9	0.1	0.6	0.4	502.63	356.25	503	386	30	10	30	0.75	29	1	1	9	0.967	0.033	0.1	0.9	450.483	396.889	400	358
125	150	50	158	0.79	148	2	10	40	0.987	0.013	0.2	0.8	437.757	365.275	429	358.5	2.216	0.842	2.216	0.842	2.131	0.821	1.375	1.31	0.781	0.778	1.529	1.476	-0.848	-0.819	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	423.207	507.167	434	494	30	10	33	0.825	30	0	3	7	1	0	0.3	0.7	471.9	414	448	443	30	10	32	0.8	30	0	2	8	1	0	0.2	0.8	437.7	305.75	441.5	333	30	10	31	0.775	30	0	1	9	1	0	0.1	0.9	398.633	315.778	377	312	30	10	29	0.725	29	1	0	10	0.967	0.033	0	1	457.517	338.2	444	365
126	150	50	184	0.92	144	6	40	10	0.96	0.04	0.8	0.2	669.958	553.1	678	575.5	1.751	-0.842	1.751	-0.842	1.716	-0.821	2.592	2.537	0.935	0.933	0.455	0.448	-0.613	-0.598	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	634.862	517.667	626	505	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	685.103	604	699	604	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	673.5	619.5	677	619.5	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	683.034	518	698	518	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	673.414	539	695	547
