sub	all_nGo	all_nNoGo	all_nAcc	all_pAcc	all_nGo_Hit	all_nGo_Miss	all_nNoGo_Corr	all_nNoGo_FA	all_pGo_Hit	all_pGo_Miss	all_pNoGo_Corr	all_pNoGo_FA	all_RTmeanGo_Hit	all_RTmeanNoGo_FA	all_RTmedGo_Hit	all_RTmedNoGo_FA	all_z_Hit	all_z_FA	all_z_Hit_mm	all_z_FA_mm	all_z_Hit_ll	all_z_FA_ll	all_d_prime_mm	all_d_prime_ll	all_A_prime_mm	all_A_prime_ll	all_c_mm	all_c_ll	all_Grier_beta_mm	all_Grier_beta_ll	b1_nGo	b1_nNoGo	b1_nAcc	b1_pAcc	b1_nGo_Hit	b1_nGo_Miss	b1_nNoGo_Corr	b1_nNoGo_FA	b1_pGo_Hit	b1_pGo_Miss	b1_pNoGo_Corr	b1_pNoGo_FA	b1_RTmeanGo_Hit	b1_RTmeanNoGo_FA	b1_RTmedGo_Hit	b1_RTmedNoGo_FA	b2_nGo	b2_nNoGo	b2_nAcc	b2_pAcc	b2_nGo_Hit	b2_nGo_Miss	b2_nNoGo_Corr	b2_nNoGo_FA	b2_pGo_Hit	b2_pGo_Miss	b2_pNoGo_Corr	b2_pNoGo_FA	b2_RTmeanGo_Hit	b2_RTmeanNoGo_FA	b2_RTmedGo_Hit	b2_RTmedNoGo_FA	b3_nGo	b3_nNoGo	b3_nAcc	b3_pAcc	b3_nGo_Hit	b3_nGo_Miss	b3_nNoGo_Corr	b3_nNoGo_FA	b3_pGo_Hit	b3_pGo_Miss	b3_pNoGo_Corr	b3_pNoGo_FA	b3_RTmeanGo_Hit	b3_RTmeanNoGo_FA	b3_RTmedGo_Hit	b3_RTmedNoGo_FA	b4_nGo	b4_nNoGo	b4_nAcc	b4_pAcc	b4_nGo_Hit	b4_nGo_Miss	b4_nNoGo_Corr	b4_nNoGo_FA	b4_pGo_Hit	b4_pGo_Miss	b4_pNoGo_Corr	b4_pNoGo_FA	b4_RTmeanGo_Hit	b4_RTmeanNoGo_FA	b4_RTmedGo_Hit	b4_RTmedNoGo_FA	b5_nGo	b5_nNoGo	b5_nAcc	b5_pAcc	b5_nGo_Hit	b5_nGo_Miss	b5_nNoGo_Corr	b5_nNoGo_FA	b5_pGo_Hit	b5_pGo_Miss	b5_pNoGo_Corr	b5_pNoGo_FA	b5_RTmeanGo_Hit	b5_RTmeanNoGo_FA	b5_RTmedGo_Hit	b5_RTmedNoGo_FA
57	150	50	161	0.805	143	7	18	32	0.953	0.047	0.36	0.64	500.406	364.188	502	333	1.678	0.358	1.678	0.358	1.648	0.351	1.32	1.297	0.8	0.798	1.018	1	-0.676	-0.661	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	533.867	490.667	522.5	341	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	623.1	408.6	575.5	426	30	10	33	0.825	30	0	3	7	1	0	0.3	0.7	420.633	381.714	396	293	30	10	27	0.675	25	5	2	8	0.833	0.167	0.2	0.8	449.36	282.375	395	245	30	10	29	0.725	28	2	1	9	0.933	0.067	0.1	0.9	464.143	356.444	421	353
58	150	50	193	0.965	149	1	44	6	0.993	0.007	0.88	0.12	590.081	443.5	582	371	2.475	-1.175	2.475	-1.175	2.329	-1.139	3.65	3.467	0.968	0.965	0.65	0.595	-0.882	-0.837	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	641.667	442	675	442	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	603.567	366	591	366	30	10	40	1	30	0	10	0	1	0	1	0	628.1		633		30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	548.267	705	546	705	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	526.69	353	512	353
68	150	50	180	0.9	149	1	31	19	0.993	0.007	0.62	0.38	552.215	421.684	543	391	2.475	-0.305	2.475	-0.305	2.329	-0.299	2.78	2.628	0.902	0.899	1.085	1.015	-0.945	-0.92	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	528.067	370	512	391	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	562.633	371.2	545.5	355	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	536.733	400.333	527	402	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	549.862	464.2	512	376	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	583.7	508	569	513
69	150	50	180	0.9	146	4	34	16	0.973	0.027	0.68	0.32	532.932	475.625	535	458	1.932	-0.468	1.932	-0.468	1.884	-0.458	2.4	2.342	0.908	0.906	0.732	0.713	-0.787	-0.767	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	548.379	513.5	560	552.5	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	547.4	437.333	562	465	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	432.9	505	501	505	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	609.321	595.5	576.5	458	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	532.241	339.25	529	365.5
70	150	50	173	0.865	148	2	25	25	0.987	0.013	0.5	0.5	495.946	402.72	489.5	380	2.216	0	2.216	0	2.131	0	2.216	2.131	0.867	0.865	1.108	1.065	-0.9	-0.878	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	471.759	396.286	450	374	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	492.233	374	487.5	376	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	488.133	357.667	481.5	356	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	516.5	439	537.5	441	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	510.793	424.143	516	398
71	150	50	182	0.91	150	0	32	18	1	0	0.64	0.36	526.613	422.556	508.5	430	inf	-0.358	2.713	-0.358	2.715	-0.351	3.072	3.066	0.908	0.908	1.177	1.182	-0.972	-0.972	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	502.4	406	469.5	378.5	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	570.9	427.75	580.5	421	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	519.8	443	484.5	444.5	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	554.067	455.5	538.5	455.5	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	485.9	397	483	467
72	150	50	184	0.92	148	2	36	14	0.987	0.013	0.72	0.28	524.291	420.286	525.5	419.5	2.216	-0.583	2.216	-0.583	2.131	-0.57	2.799	2.701	0.924	0.922	0.817	0.78	-0.877	-0.852	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	540.533	430.667	516	426	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	551.8	404.333	558.5	419	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	504.862	373	495	373	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	527.5	216	542.5	216	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	495.138	514.8	472	433
73	150	50	181	0.905	145	5	36	14	0.967	0.033	0.72	0.28	508.372	404.286	503	361.5	1.834	-0.583	1.834	-0.583	1.794	-0.57	2.417	2.364	0.916	0.914	0.626	0.612	-0.724	-0.706	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	547.034	415.4	544	422	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	510.5	487	506	487	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	479.5	453.5	477	453.5	30	10	35	0.875	27	3	8	2	0.9	0.1	0.8	0.2	515.259	392	518	392	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	490.966	306	484	341
74	150	50	193	0.965	147	3	46	4	0.98	0.02	0.92	0.08	568.388	405	562	397	2.054	-1.405	2.054	-1.405	1.992	-1.352	3.459	3.344	0.974	0.971	0.324	0.32	-0.579	-0.561	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	601.724	386	608	386	30	10	39	0.975	29	1	10	0	0.967	0.033	1	0	568.483		562		30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	539.1	373	537.5	373	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	566.724	430.5	555	430.5	30	10	40	1	30	0	10	0	1	0	1	0	566.967		567	
75	150	50	178	0.89	145	5	33	17	0.967	0.033	0.66	0.34	551.621	450.765	537	466	1.834	-0.412	1.834	-0.412	1.794	-0.404	2.246	2.198	0.899	0.897	0.711	0.695	-0.749	-0.731	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	562.467	408	553.5	410	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	530.172	409	520	361	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	574.862	497.5	563	488	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	513.536	414.5	508	414.5	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	575.379	478.6	549	523
76	150	50	186	0.93	146	4	40	10	0.973	0.027	0.8	0.2	563.411	304.5	539.5	293	1.932	-0.842	1.932	-0.842	1.884	-0.821	2.774	2.705	0.94	0.938	0.545	0.531	-0.721	-0.699	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	578.467	572	556.5	572	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	540.733	335	527	411	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	574.207	352	535	365	30	10	38	0.95	28	2	10	0	0.933	0.067	1	0	539.75		536		30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	583.345	137.333	507	164
77	150	50	180	0.9	149	1	31	19	0.993	0.007	0.62	0.38	532.973	408.632	535	384	2.475	-0.305	2.475	-0.305	2.329	-0.299	2.78	2.628	0.902	0.899	1.085	1.015	-0.945	-0.92	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	540.207	405	543	384	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	540.3	420.333	542.5	371	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	515.133	471.25	512.5	483.5	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	548.667	354	563.5	363	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	520.8	390.167	447	391
78	150	50	177	0.885	147	3	30	20	0.98	0.02	0.6	0.4	584.483	467.15	574	475.5	2.054	-0.253	2.054	-0.253	1.992	-0.248	2.307	2.24	0.89	0.887	0.9	0.872	-0.849	-0.828	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	617.133	487.667	554.5	481	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	570.207	529	580	529	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	567.586	431.75	549	455	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	584.033	445	583	521	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	582.345	469	583	545
80	150	50	187	0.935	150	0	37	13	1	0	0.74	0.26	470.067	397.692	462	398	inf	-0.643	2.713	-0.643	2.715	-0.629	3.356	3.344	0.934	0.932	1.035	1.043	-0.966	-0.967	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	461.033	328.667	468.5	333	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	473.7	403.5	459.5	403.5	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	458.033	380.667	449	351	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	477.267	441	457.5	462	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	480.3	456	485.5	456
81	150	50	187	0.935	150	0	37	13	1	0	0.74	0.26	481.74	400.692	468	366	inf	-0.643	2.713	-0.643	2.715	-0.629	3.356	3.344	0.934	0.932	1.035	1.043	-0.966	-0.967	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	454.267	444.5	468	444.5	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	502.833	393.8	501	356	30	10	39	0.975	30	0	9	1	1	0	0.9	0.1	454.367	366	448.5	366	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	498.533	402	487.5	375	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	498.7	389.5	447	389.5
82	150	50	183	0.915	149	1	34	16	0.993	0.007	0.68	0.32	535.819	421.625	542	405.5	2.475	-0.468	2.475	-0.468	2.329	-0.458	2.942	2.787	0.917	0.915	1.004	0.935	-0.941	-0.914	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	529.3	382.75	552	383	30	10	37	0.925	30	0	7	3	1	0	0.7	0.3	575.067	523.667	558.5	568	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	506.483	363	495	363	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	545.033	489.5	532	489.5	30	10	35	0.875	30	0	5	5	1	0	0.5	0.5	522.233	387.8	510	375
83	150	50	176	0.88	137	13	39	11	0.913	0.087	0.78	0.22	681.453	558.182	659	567	1.362	-0.772	1.362	-0.772	1.344	-0.754	2.134	2.098	0.912	0.909	0.295	0.295	-0.369	-0.364	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	667.571	535	612.5	535	30	10	37	0.925	28	2	9	1	0.933	0.067	0.9	0.1	712.071	597	690.5	597	30	10	31	0.775	25	5	6	4	0.833	0.167	0.6	0.4	702.28	537.75	741	536.5	30	10	34	0.85	26	4	8	2	0.867	0.133	0.8	0.2	707.077	602	693	602	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	626.267	559	636.5	559
84	150	50	176	0.88	149	1	27	23	0.993	0.007	0.54	0.46	521.792	424.087	507	372	2.475	-0.1	2.475	-0.1	2.329	-0.098	2.575	2.427	0.881	0.879	1.187	1.115	-0.948	-0.924	30	10	38	0.95	30	0	8	2	1	0	0.8	0.2	534.3	378	528.5	378	30	10	36	0.9	30	0	6	4	1	0	0.6	0.4	518.933	367.25	519.5	375	30	10	34	0.85	30	0	4	6	1	0	0.4	0.6	477.4	354.833	448.5	347.5	30	10	32	0.8	30	0	2	8	1	0	0.2	0.8	527.4	512.25	506	386.5	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	551.931	434	562	361
