sub	block	condition	racehorse_check	n_stop_trials	n_go_trials	go_rt	n_go_cor	go_cor_rt	n_go_error	go_error_rt	n_go_miss	stop_prob_resp	us_rt	ssd	ssrt_mean	ssrt_int
40	1	lED_lPort	1	16	48	760.625	48	760.625	0		0	0.375	600.6666666666666	393.75	366.875	282.0
40	2	hED_lPort	1	16	48	843.6170212765958	47	843.6170212765958	0		1	0.375	570.0	387.5	456.1170212765958	360.625
40	3	lED_sPort	1	16	48	853.5208333333334	48	853.5208333333334	0		0	0.3125	659.4	406.25	447.27083333333337	363.8125
40	4	hED_sPort	1	16	48	772.3125	48	772.3125	0		0	0.375	609.5	400.0	372.3125	289.75
41	1	lED_sPort	1	16	48	416.5416666666667	43	432.83720930232556	0		0	0.625	370.3	118.8125	297.7291666666667	328.3125
41	2	lED_lPort	1	16	48	408.9583333333333	40	437.975	0		0	0.9375	357.26666666666665	91.8125	317.1458333333333	517.8125
41	3	hED_lPort	1	16	48	434.82978723404256	42	444.4761904761905	0		0	0.9375	390.0	87.5	338.2708333333333	630.5625
41	4	hED_sPort	0	16	48	421.4468085106383	36	454.8888888888889	0		0	0.875	469.57142857142856	95.8125		
43	1	lED_sPort	1	16	48	559.5416666666666	48	559.5416666666666	0		0	0.5	476.375	262.5	297.04166666666663	262.5
43	2	hED_sPort	1	16	48	465.375	46	472.30434782608694	0		0	0.5625	438.77777777777777	157.3125	308.0625	295.4375
43	3	lED_lPort	1	16	48	479.375	43	488.27906976744185	0		0	0.5	355.375	175.0	304.375	312.0
43	4	hED_lPort	1	16	48	486.9166666666667	47	491.0425531914894	0		0	0.625	460.0	129.1875	357.7291666666667	351.3125
45	1	hED_sPort	1	16	48	609.9375	47	606.468085106383	1	773.0	0	0.4375	530.1428571428571	351.0625	258.875	228.625
45	3	lED_lPort	1	16	48	690.3125	48	690.3125	0		0	0.3125	656.0	425.0	265.3125	160.5
47	1	hED_sPort	1	16	48	631.4583333333334	47	637.3191489361702	1	356.0	0	0.5625	501.77777777777777	257.3125	374.14583333333337	386.8125
47	2	lED_lPort	1	16	48	653.7291666666666	48	653.7291666666666	0		0	0.375	601.5	412.5	241.22916666666663	141.125
48	1	hED_sPort	1	16	48	682.3125	47	686.936170212766	1	465.0	0	0.4375	555.7142857142857	426.0625	256.25	231.25
48	3	lED_lPort	1	16	48	645.4186046511628	40	643.55	2	771.5	5	0.5	640.375	275.0	370.4186046511628	351.5
49	1	hED_sPort	1	16	48	659.0625	47	666.063829787234	1	330.0	0	0.4375	471.42857142857144	308.375	350.6875	327.875
49	2	lED_sPort	1	16	48	626.1702127659574	45	634.0	1	409.0	0	0.375	601.3333333333334	319.8125	293.3125	226.0625
49	3	hED_lPort	1	16	48	616.3111111111111	44	618.5227272727273	0		3	0.4375	505.0	290.75	325.56111111111113	273.4375
49	4	lED_lPort	1	16	48	542.0	48	542.0	0		0	0.4375	492.0	327.125	214.875	184.5625
52	1	lED_sPort	1	16	48	910.0263157894736	33	941.8181818181819	5	700.2	10	0.3125	745.2	429.25	480.77631578947364	390.25
52	2	lED_lPort	1	16	48	838.1111111111111	38	886.078947368421	7	577.7142857142857	3	0.3125	768.6	442.75	395.3611111111111	287.875
52	3	hED_lPort	1	16	48	780.9333333333333	41	780.7560975609756	4	782.75	3	0.3125	682.2	431.375	349.5583333333333	186.625
52	4	hED_sPort	1	16	48	818.8888888888889	44	814.1590909090909	1	1027.0	3	0.375	672.0	328.1875	490.7013888888889	416.6875
55	1	hED_sPort	1	16	48	480.7916666666667	46	489.2826086956522	1	304.0	0	0.5	454.375	250.0	230.79166666666669	205.0
55	2	hED_lPort	1	16	48	500.4583333333333	46	509.4347826086956	2	294.0	0	0.5	459.5	276.0625	224.39583333333331	212.4375
55	3	lED_sPort	1	16	48	559.6666666666666	46	565.6086956521739	1	240.0	0	0.4375	502.0	325.0	234.66666666666663	180.5625
55	4	lED_lPort	1	16	48	545.375	47	551.7446808510638	1	246.0	0	0.5	440.125	275.0	270.375	244.0
56	1	hED_sPort	1	16	48	543.625	48	543.625	0		0	0.5	504.0	293.75	249.875	204.25
56	2	lED_lPort	1	16	48	625.7083333333334	48	625.7083333333334	0		0	0.5	530.125	400.0	225.70833333333337	195.0
58	1	lED_sPort	1	16	48	836.2083333333334	45	834.8444444444444	3	856.6666666666666	0	0.3125	696.0	407.3125	428.89583333333337	337.75
58	2	hED_lPort	1	16	48	752.6041666666666	48	752.6041666666666	0		0	0.4375	636.4285714285714	427.1875	325.41666666666663	318.9375
58	3	hED_sPort	1	16	48	772.2291666666666	48	772.2291666666666	0		0	0.25	670.25	469.8125	302.41666666666663	192.6875
58	4	lED_lPort	1	16	48	769.936170212766	47	769.936170212766	0		1	0.3125	598.8	454.25	315.686170212766	228.8125
68	1	hED_sPort	1	16	48	815.25	43	813.0697674418604	0		4	0.3125	579.0	469.8125	345.4375	245.875
68	2	lED_lPort	1	16	48	812.1555555555556	45	812.1555555555556	0		3	0.4375	758.0	300.0	512.1555555555556	420.5625
68	3	hED_lPort	1	16	48	864.8888888888889	43	863.7209302325581	1	1170.0	3	0.375	700.0	300.0	564.8888888888889	453.75
68	4	lED_sPort	0	16	48	770.046511627907	42	774.7619047619048	0		5	0.4375	800.0	381.25		
69	1	hED_sPort	0	16	48	753.468085106383	42	768.452380952381	4	670.0	1	0.4375	850.2857142857143	257.3125		
69	2	lED_lPort	1	16	48	755.4468085106383	38	791.4736842105264	8	585.25	1	0.5625	702.3333333333334	243.75	511.69680851063833	510.25
69	3	lED_sPort	1	16	48	633.5434782608696	28	715.1851851851852	17	516.2941176470588	1	0.875	589.7142857142857	107.3125	512.751329787234	786.8125
69	4	hED_lPort	0	16	48	638.7555555555556	28	690.25	15	550.8666666666667	1	1.0	698.6875	82.3125		
70	1	hED_sPort	1	16	48	559.6041666666666	44	576.0909090909091	2	386.0	0	0.4375	494.57142857142856	343.75	215.85416666666663	166.25
70	2	lED_lPort	0	16	48	565.7708333333334	45	574.0444444444445	2	396.0	0	0.5	610.125	237.5		
70	3	lED_sPort	1	16	48	577.5434782608696	43	583.8604651162791	3	487.0	2	0.5	520.125	231.25	346.2934782608696	294.25
70	4	hED_lPort	0	16	48	573.7916666666666	41	593.4878048780488	6	467.5	0	0.625	584.4	231.25		
71	1	hED_sPort	1	16	48	515.4166666666666	40	536.65	0		0	0.5	456.625	237.5	277.91666666666663	248.5
71	2	lED_lPort	1	16	48	420.4782608695652	33	425.06060606060606	2	362.5	0	0.6875	342.3333333333333	125.0	277.9583333333333	315.375
71	3	lED_sPort	1	16	48	399.0625	38	403.05263157894734	0		0	0.8125	397.75	96.9375	302.125	426.75
71	4	hED_lPort	1	16	48	449.2826086956522	35	464.0882352941176	0		0	1.0	415.93333333333334	84.4375	346.125	934.5625
73	1	hED_sPort	1	16	48	745.7708333333334	48	745.7708333333334	0		0	0.3125	659.8	432.3125	313.45833333333337	202.75
73	2	lED_sPort	1	16	48	785.4375	47	790.2978723404256	1	557.0	0	0.4375	682.7142857142857	426.0625	359.375	320.8125
73	3	lED_lPort	1	16	48	728.8333333333334	48	728.8333333333334	0		0	0.4375	537.2857142857143	406.25	322.58333333333337	286.75
73	4	hED_lPort	1	16	48	692.3958333333334	48	692.3958333333334	0		0	0.375	630.3333333333334	393.75	298.64583333333337	243.875
74	1	hED_sPort	1	16	48	673.6382978723404	46	666.0	1	1025.0	1	0.4375	623.8571428571429	375.0	298.63829787234044	224.1875
74	2	lED_sPort	0	16	48	585.2553191489362	47	585.2553191489362	0		1	0.4375	726.7142857142857	375.0		
74	3	lED_lPort	1	16	48	663.9791666666666	48	663.9791666666666	0		0	0.4375	636.8571428571429	231.25	432.72916666666663	370.3125
74	4	hED_lPort	1	16	48	669.2708333333334	45	674.0888888888888	2	706.0	0	0.375	610.6666666666666	368.75	300.52083333333337	189.125
75	1	hED_sPort	1	16	48	525.7916666666666	46	533.0869565217391	1	365.0	0	0.5	427.75	206.25	319.54166666666663	296.25
75	2	lED_sPort	1	16	48	403.2	38	423.5833333333333	3	278.6666666666667	0	0.75	319.9166666666667	124.0	254.0	386.75
75	3	lED_lPort	1	16	48	342.2340425531915	30	410.82758620689657	2	287.5	0	1.0	245.3125	87.5625	247.54166666666669	904.4375
75	4	hED_lPort	1	16	48	460.29787234042556	41	461.875	0		0	0.625	407.5	175.0	275.7083333333333	340.625
77	1	hED_sPort	0	16	48	586.7659574468086	42	622.560975609756	0		0	0.8125	605.2307692307693	95.875		
77	2	lED_sPort	0	16	48	449.06666666666666	38	481.3783783783784	0		2	1.0	450.1333333333333	84.375		
77	3	lED_lPort	0	16	48	517.8837209302326	36	540.7714285714286	1	865.0	3	0.9375	568.8	88.625		
77	4	hED_lPort	0	16	48	495.3478260869565	39	538.0	0		2	1.0	498.9375	83.375		
78	1	lED_sPort	1	16	48	711.8478260869565	47	719.3111111111111	1	376.0	0	0.375	618.5	337.5	344.6875	289.75
78	2	lED_lPort	1	16	48	714.8085106382979	46	708.7826086956521	1	992.0	1	0.375	589.5	369.8125	344.9960106382979	271.9375
78	3	hED_lPort	1	16	48	702.4468085106383	46	697.695652173913	1	921.0	1	0.4375	605.0	306.25	396.19680851063833	350.5625
78	4	hED_sPort	1	16	48	651.0425531914893	42	664.2142857142857	1	474.0	1	0.4375	484.2857142857143	331.25	319.79255319148933	275.4375
80	1	hED_sPort	1	16	48	490.0833333333333	47	489.8085106382979	1	503.0	0	0.5	419.625	243.75	246.33333333333331	227.25
80	2	lED_lPort	0	16	48	461.625	47	468.48936170212767	0		0	0.625	469.4	201.0625		
80	3	lED_sPort	1	16	48	486.9375	47	488.6170212765957	0		0	0.5	464.125	193.75	293.1875	256.25
80	4	hED_lPort	1	16	48	464.2291666666667	47	468.3191489361702	0		0	0.5625	387.8888888888889	268.75	195.47916666666669	186.6875
83	1	hED_lPort	1	16	48	875.4166666666666	42	868.7380952380952	5	940.8	0	0.3125	763.0	387.5	487.91666666666663	426.75
83	2	lED_sPort	1	16	48	981.8085106382979	44	994.3863636363636	2	685.5	1	0.4375	771.0	400.0	581.8085106382979	559.4375
83	3	lED_lPort	1	16	48	838.8936170212766	44	840.5681818181819	3	814.3333333333334	1	0.375	752.5	437.5	401.39361702127655	373.375
83	4	hED_sPort	1	16	48	918.1276595744681	45	924.3555555555556	0		1	0.4375	735.4285714285714	343.75	574.3776595744681	549.125
84	1	hED_lPort	1	16	48	506.5	47	512.2553191489362	1	236.0	0	0.4375	422.7142857142857	300.0	206.5	140.5
84	2	lED_sPort	1	16	48	579.8297872340426	45	581.1333333333333	1	722.0	1	0.4375	472.42857142857144	243.75	336.07978723404256	272.75
84	3	lED_lPort	1	16	48	515.25	47	515.7446808510638	0		0	0.5625	447.55555555555554	262.5	252.75	233.5625
84	4	hED_sPort	1	16	48	512.8333333333334	47	516.3404255319149	0		0	0.5	424.875	250.0	262.83333333333337	240.0
89	1	hED_lPort	1	16	48	638.4791666666666	47	627.1489361702128	1	1171.0	0	0.5	533.375	308.375	330.10416666666663	300.125
89	2	lED_sPort	1	16	48	633.9791666666666	48	633.9791666666666	0		0	0.375	519.0	381.25	252.72916666666663	181.625
89	3	lED_lPort	1	16	48	572.125	47	570.0	1	672.0	0	0.4375	540.2857142857143	401.0625	171.0625	162.0625
89	4	hED_sPort	1	16	48	607.7916666666666	47	611.5531914893617	1	431.0	0	0.5	578.875	337.5	270.29166666666663	234.5
90	1	lED_sPort	1	16	48	580.0208333333334	47	582.0212765957447	1	486.0	0	0.5	505.625	343.75	236.27083333333337	153.25
90	2	lED_lPort	1	16	48	590.0652173913044	43	598.7674418604652	1	310.0	2	0.375	492.6666666666667	293.75	296.3152173913044	182.75
90	3	hED_lPort	1	16	48	559.3829787234042	41	587.3414634146342	2	559.5	1	0.5	470.7142857142857	287.5	271.8829787234042	241.0
90	4	hED_sPort	1	16	48	394.3863636363636	23	536.1304347826087	0		1	0.875	228.35714285714286	90.625	278.58776595744683	631.75
93	1	lED_sPort	1	16	48	775.3333333333334	45	774.7777777777778	1	1174.0	0	0.3125	555.2	369.8125	405.52083333333337	253.5625
93	2	lED_lPort	1	16	48	765.0851063829788	46	766.0652173913044	0		1	0.375	517.0	325.0	440.0851063829788	359.0
93	3	hED_lPort	1	16	48	782.7826086956521	45	777.0227272727273	0		1	0.5	490.85714285714283	331.25	434.8776595744681	364.75
93	4	hED_sPort	1	16	48	592.5454545454545	40	615.925	0		4	0.625	511.1	160.4375	432.1079545454545	465.4375
94	1	hED_lPort	1	16	48	663.0444444444445	44	670.4761904761905	1	746.0	0	0.375	611.8	351.0625	270.54166666666663	248.3125
94	2	lED_lPort	0	16	48	682.8695652173913	44	693.7380952380952	1	723.0	0	0.4375	807.75	314.625		
94	3	lED_sPort	1	16	48	633.45	36	677.1515151515151	1	833.0	2	0.5625	508.0	219.8125	331.01358695652175	394.5625
94	4	hED_sPort	1	16	48	634.6304347826087	45	637.5555555555555	0		1	0.4375	607.5	196.9375	424.1901595744681	365.5625
95	1	lED_sPort	1	16	48	724.875	48	724.875	0		0	0.375	604.3333333333334	376.0625	348.8125	256.5625
95	2	lED_lPort	1	16	48	785.6521739130435	46	789.2888888888889	0		0	0.3125	731.8	456.25	296.66666666666663	211.5
95	3	hED_lPort	1	16	48	833.1063829787234	47	833.1063829787234	0		0	0.375	673.5	393.75	422.0	314.75
95	4	hED_sPort	1	16	48	718.7173913043479	46	718.7173913043479	0		0	0.3125	570.2	318.75	370.02083333333337	299.0625
96	1	lED_sPort	1	16	48	401.5744680851064	42	416.95238095238096	0		1	0.75	278.27272727272725	113.5625	288.0119680851064	341.6875
96	2	lED_lPort	1	16	48	444.1041666666667	44	456.0681818181818	0		0	0.625	401.9	193.75	250.35416666666669	289.75
96	3	hED_lPort	0	16	48	388.3541666666667	40	417.7	0		0	0.625	395.2	218.75		
96	4	hED_sPort	1	16	48	482.8723404255319	44	492.09090909090907	1	582.0	1	0.6875	475.45454545454544	134.375	348.4973404255319	414.125
101	1	lED_sPort	1	16	48	456.63829787234044	47	460.04347826086956	0		0	0.6875	441.1818181818182	111.5	335.625	369.125
101	2	lED_lPort	1	16	48	467.9583333333333	43	479.2325581395349	1	290.0	0	0.625	417.8	181.25	286.7083333333333	298.0
101	3	hED_lPort	1	16	48	507.4583333333333	43	504.8837209302326	0		0	0.5625	487.1111111111111	134.375	373.0833333333333	375.0
101	4	hED_sPort	1	16	48	487.4791666666667	41	506.0243902439024	1	306.0	0	0.75	386.45454545454544	116.6875	370.7916666666667	455.3125
103	1	lED_sPort	0	16	48	593.2	36	657.7714285714286	1	454.0	0	1.0	619.0769230769231	89.75		
103	2	lED_lPort	1	16	48	723.2978723404256	42	736.2619047619048	1	641.0	1	0.875	569.6428571428571	91.8125	631.4853723404256	981.5625
103	3	hED_lPort	1	16	48	601.6304347826087	41	611.4146341463414	0		2	0.8125	497.15384615384613	99.0	502.63043478260875	779.875
103	4	hED_sPort	1	16	48	570.2340425531914	39	574.1538461538462	1	1330.0	1	0.6875	546.0909090909091	107.375	462.85904255319144	508.375
104	1	lED_sPort	1	16	48	796.125	46	790.5	2	925.5	0	0.4375	634.0	345.875	450.25	396.375
104	2	lED_lPort	0	16	48	600.4583333333334	45	616.0222222222222	0		0	0.625	613.0	212.5		
104	3	hED_lPort	1	16	48	677.6170212765958	44	691.3181818181819	0		1	0.625	618.8	122.9375	554.6795212765958	579.1875
104	4	hED_sPort	0	16	48	544.7708333333334	44	558.0909090909091	1	593.0	0	0.8125	672.8461538461538	140.625		
106	1	lED_sPort	0	16	48	748.0666666666667	32	776.3870967741935	8	573.1428571428571	1	0.4375	828.6666666666666	351.0625		
106	2	lED_lPort	1	16	48	681.4893617021277	39	690.6923076923077	1	487.0	1	0.5	462.125	225.0	456.48936170212767	432.5
106	3	hED_lPort	0	16	48	563.8085106382979	38	610.4324324324324	2	182.5	0	0.4375	636.2857142857143	250.0		
106	4	hED_sPort	1	16	48	736.3191489361702	40	731.475	1	1111.0	1	0.5	681.75	251.0625	485.2566489361702	458.4375
107	1	lED_sPort	0	16	48	776.2093023255813	42	786.4761904761905	0		5	0.25	930.75	488.5625		
107	2	lED_lPort	1	16	48	698.5957446808511	43	707.5581395348837	1	751.0	1	0.4375	653.0	381.25	317.3457446808511	322.875
107	3	hED_lPort	1	16	48	870.1219512195122	41	870.1219512195122	0		7	0.375	743.0	412.5	457.6219512195122	372.625
107	4	hED_sPort	1	16	48	828.2444444444444	41	847.0975609756098	0		3	0.375	581.3333333333334	287.5	540.7444444444444	439.875
