sub	ses	model	params	beta	alpha	lambda	w	pi	rho	loglikelihood	bic	aic	latents
71	1	HybridModel_NoStimSticky_NoRespSticky	4	0.431590513745121	0.530316301969097	0.999999951953894	8.60396449811174e-09			-60.6284615092835	139.677603762519	129.256923018567	0
72	1	HybridModel_NoStimSticky_NoRespSticky	4	3.35871288630269	0.00384445340088782	0.349065307955771	4.57222930331075e-07			-64.4322123050042	147.285105353961	136.864424610008	0
73	1	HybridModel_NoStimSticky_NoRespSticky	4	3.39115416759782	0.0275141502289401	5.46776251550568e-09	0.168264690238094			-63.997881231766	146.416443207484	135.995762463532	0
74	1	HybridModel_NoStimSticky_NoRespSticky	4	0.44052239696103	0.999999996080441	0.53038812437908	3.85468541208722e-09			-51.2318203229163	120.884321389785	110.463640645833	0
75	1	HybridModel_NoStimSticky_NoRespSticky	4	0.720812911116332	0.396049228653475	0.999999844136018	4.55047607745476e-09			-59.2653497157045	136.951380175361	126.530699431409	0
77	1	HybridModel_NoStimSticky_NoRespSticky	4	3.62950520379938	0.00881038120401653	0.999999397892698	0.470985373267684			-64.9677460251225	148.356172794197	137.935492050245	0
78	1	HybridModel_NoStimSticky_NoRespSticky	4	3.45225902389956	0.0227777600879996	4.26255607175187e-09	0.0222349577863402			-65.1193446731191	148.65937009019	138.238689346238	0
80	1	HybridModel_NoStimSticky_NoRespSticky	4	3.38881836806623	0.00904377426964414	0.999998238934413	0.409831548165481			-67.5377008934954	153.496082530943	143.075401786991	0
83	1	HybridModel_NoStimSticky_NoRespSticky	4	3.62721166919197	0.0219698480552694	0.384945330534768	0.187326621186241			-65.6143156880161	149.649312119985	139.228631376032	0
84	1	HybridModel_NoStimSticky_NoRespSticky	4	3.34854868397483	0.0023729663464726	0.999981004837483	7.04894098061416e-06			-68.5433065842963	155.507293912545	145.086613168593	0
89	1	HybridModel_NoStimSticky_NoRespSticky	4	0.324572756574336	0.999999985572015	0.999999943777396	2.65410778371707e-09			-59.8031668696447	138.027014483242	127.606333739289	0
90	1	HybridModel_NoStimSticky_NoRespSticky	4	0.3209271353758	0.999999992213569	0.999999973166246	2.08813618188723e-09			-58.4610640250721	135.342808794097	124.922128050144	0
93	1	HybridModel_NoStimSticky_NoRespSticky	4	3.36077367701883	0.0010479463377529	0.634541178544142	1.59788536562722e-06			-68.5777369294512	155.576154602855	145.155473858902	0
95	1	HybridModel_NoStimSticky_NoRespSticky	4	0.314946257482298	0.833384525899124	0.800110726214922	2.55580864763291e-08			-59.1355851595492	136.691851063051	126.271170319098	0
96	1	HybridModel_NoStimSticky_NoRespSticky	4	0.377061813888951	0.911402685051977	0.394787897392074	1.04238025863763e-08			-57.2751551243862	132.970990992725	122.550310248772	0
98	1	HybridModel_NoStimSticky_NoRespSticky	4	1.54865704687538	0.150505885772992	0.256512021620924	0.146901498319579			-64.7571310540706	147.934942852094	137.514262108141	0
101	1	HybridModel_NoStimSticky_NoRespSticky	4	3.38040749153007	0.00136559799702503	0.267788364998675	0.999996997872339			-65.6066098656636	149.63390047528	139.213219731327	0
103	1	HybridModel_NoStimSticky_NoRespSticky	4	3.36882348164694	0.00119919811060474	0.138574103516192	0.999996002884984			-64.6149115489505	147.650503841853	137.229823097901	0
104	1	HybridModel_NoStimSticky_NoRespSticky	4	3.46755106529081	0.00443989314945841	0.45464288007822	0.999999940700778			-65.0735271393737	148.5677350227	138.147054278747	0
105	1	HybridModel_NoStimSticky_NoRespSticky	4	3.41071572610319	0.0290266895806404	2.18416254541762e-07	0.178241107415758			-57.9302989944884	134.281278732929	123.860597988977	0
106	1	HybridModel_NoStimSticky_NoRespSticky	4	3.36529929242822	0.0121554662061869	3.79389634940391e-07	1.30656425004584e-07			-62.2961258448624	143.012932433677	132.592251689725	0
107	1	HybridModel_NoStimSticky_NoRespSticky	4	3.36259545572202	0.00099141136982548	0.295530886655994	0.999981540779467			-65.7896316768835	149.999944097719	139.579263353767	0
109	1	HybridModel_NoStimSticky_NoRespSticky	4	3.45597698168006	0.036021376182877	0.99999997716767	0.275060405562387			-59.2932072010215	137.007095145995	126.586414402043	0
111	1	HybridModel_NoStimSticky_NoRespSticky	4	0.574991306877655	0.840369640472985	0.999999995391983	0.0922304297812997			-51.5765078209311	121.573696385815	111.153015641862	0
112	1	HybridModel_NoStimSticky_NoRespSticky	4	0.7180072518522	0.518260189965562	0.999999957976605	6.45281675132124e-09			-46.002289986234	110.42526071642	100.004579972468	0
113	1	HybridModel_NoStimSticky_NoRespSticky	4	3.35791543390184	0.00738575940972297	0.99995853574132	1.91527554753331e-07			-65.8953744985809	150.211429741114	139.790748997162	0
114	1	HybridModel_NoStimSticky_NoRespSticky	4	2.66112207674433	0.0555436218887439	0.661709498532247	3.35847413086268e-07			-61.1964511301635	140.813583004279	130.392902260327	0
115	1	HybridModel_NoStimSticky_NoRespSticky	4	3.3672510529484	0.00167501301375942	0.171996808616857	0.999994506785107			-67.0237864143153	152.468253572583	142.047572828631	0
116	1	HybridModel_NoStimSticky_NoRespSticky	4	3.24391559872074	0.0101252900495186	0.999999343165097	0.0989812129839508			-54.296292250352	127.013265244656	116.592584500704	0
117	1	HybridModel_NoStimSticky_NoRespSticky	4	3.4560267189306	0.0241048071166501	4.44400535305148e-09	0.181313558882217			-63.0321030616942	144.484886867341	134.064206123388	0
118	1	HybridModel_NoStimSticky_NoRespSticky	4	3.50186852217933	0.0172875334639988	7.80217745535506e-07	2.87481073583707e-07			-63.1777301338062	144.776141011565	134.355460267613	0
