sub	all_racehorse_check	all_n_stop_trials	all_n_go_trials	all_go_rt	all_n_go_cor	all_go_cor_rt	all_n_go_error	all_go_error_rt	all_n_go_miss	all_stop_prob_resp	all_us_rt	all_ssd	all_ssrt_mean	all_ssrt_int	h_ed_racehorse_check	h_ed_n_stop_trials	h_ed_n_go_trials	h_ed_go_rt	h_ed_n_go_cor	h_ed_go_cor_rt	h_ed_n_go_error	h_ed_go_error_rt	h_ed_n_go_miss	h_ed_stop_prob_resp	h_ed_us_rt	h_ed_ssd	h_ed_ssrt_mean	h_ed_ssrt_int	l_ed_racehorse_check	l_ed_n_stop_trials	l_ed_n_go_trials	l_ed_go_rt	l_ed_n_go_cor	l_ed_go_cor_rt	l_ed_n_go_error	l_ed_go_error_rt	l_ed_n_go_miss	l_ed_stop_prob_resp	l_ed_us_rt	l_ed_ssd	l_ed_ssrt_mean	l_ed_ssrt_int	l_port_racehorse_check	l_port_n_stop_trials	l_port_n_go_trials	l_port_go_rt	l_port_n_go_cor	l_port_go_cor_rt	l_port_n_go_error	l_port_go_error_rt	l_port_n_go_miss	l_port_stop_prob_resp	l_port_us_rt	l_port_ssd	l_port_ssrt_mean	l_port_ssrt_int	s_port_racehorse_check	s_port_n_stop_trials	s_port_n_go_trials	s_port_go_rt	s_port_n_go_cor	s_port_go_cor_rt	s_port_n_go_error	s_port_go_error_rt	s_port_n_go_miss	s_port_stop_prob_resp	s_port_us_rt	s_port_ssd	s_port_ssrt_mean	s_port_ssrt_int
75	1	64	192	433.6951871657754	155	464.63576158940396	6	296.0	0	0.71875	331.7608695652174	148.203125	274.1979166666667	380.078125	1	32	96	493.38947368421054	87	499.9651162790698	1	365.0	0	0.5625	416.5	190.625	297.625	319.5625	1	32	96	372.05434782608694	68	417.89230769230767	5	282.2	0	0.875	277.2857142857143	105.78125	250.77083333333331	443.09375	1	32	96	401.2659574468085	71	440.42028985507244	2	287.5	0	0.8125	307.6923076923077	131.28125	261.625	431.96875	1	32	96	466.4731182795699	84	485.0121951219512	4	300.25	0	0.625	363.05	165.125	286.7708333333333	339.125
77	0	64	192	512.9337016574585	155	547.6644736842105	1	865.0	7	0.9375	527.7118644067797	88.0625			0	32	96	541.5483870967741	81	581.3375	0		2	0.90625	546.5862068965517	89.625			0	32	96	482.6931818181818	74	510.25	1	865.0	5	0.96875	509.46666666666664	86.5			0	32	96	506.23595505617976	75	539.3108108108108	1	865.0	5	0.96875	532.741935483871	86.0			0	32	96	519.4130434782609	80	555.5897435897435	0		2	0.90625	522.1428571428571	90.125		
78	1	64	192	694.9465240641712	181	698.1229050279329	4	690.75	3	0.40625	570.72	336.203125	351.3894675925926	292.390625	1	32	96	676.7446808510638	88	681.7159090909091	2	697.5	2	0.4375	540.0	318.75	357.9946808510638	303.8125	1	32	96	713.3440860215054	93	713.989010989011	2	684.0	1	0.375	604.0	353.65625	344.6700657894737	276.59375	1	32	96	708.6276595744681	92	703.2391304347826	2	956.5	2	0.40625	597.25	338.03125	370.5964095744681	315.5625	1	32	96	681.1182795698925	89	692.7126436781609	2	425.0	1	0.40625	546.2307692307693	334.375	332.4039473684211	286.21875
80	1	64	192	475.71875	188	478.8085106382979	1	503.0	0	0.546875	435.85714285714283	226.828125	248.890625	239.625	1	32	96	477.15625	94	479.06382978723406	1	503.0	0	0.53125	402.8235294117647	256.25	220.90625	210.75	1	32	96	474.28125	94	478.5531914893617	0		0	0.5625	467.05555555555554	197.40625	276.875	260.90625	1	32	96	462.9270833333333	94	468.40425531914894	0		0	0.59375	430.7894736842105	234.90625	228.02083333333331	232.125	1	32	96	488.5104166666667	94	489.21276595744683	1	503.0	0	0.5	441.875	218.75	269.7604166666667	247.75
83	1	64	192	903.4126984126984	175	907.5485714285714	10	851.8	3	0.390625	755.0	392.1875	511.22519841269843	458.8125	1	32	96	896.5473684210526	87	897.5057471264367	5	940.8	1	0.375	746.9166666666666	365.625	530.9223684210526	483.0	1	32	96	910.3510638297872	88	917.4772727272727	5	762.8	2	0.40625	762.4615384615385	418.75	491.6010638297872	432.25	1	32	96	857.3473684210526	86	854.3255813953489	8	893.375	1	0.34375	757.2727272727273	412.5	444.8473684210526	398.46875	1	32	96	949.968085106383	89	958.9775280898876	2	685.5	2	0.4375	753.2142857142857	371.875	578.093085106383	559.125
84	1	64	192	528.3350785340314	186	530.8333333333334	2	479.0	1	0.484375	441.7096774193548	264.0625	264.27257853403137	224.453125	1	32	96	509.6666666666667	94	514.2978723404256	1	236.0	0	0.46875	423.8666666666667	275.0	234.66666666666669	186.59375	1	32	96	547.2	92	547.7282608695652	1	722.0	1	0.5	458.4375	253.125	294.07500000000005	249.875	1	32	96	510.875	94	514.0	1	236.0	0	0.5	436.6875	281.25	229.625	184.75	1	32	96	545.978947368421	92	548.0326086956521	1	722.0	1	0.46875	447.06666666666666	246.875	299.103947368421	253.1875
89	1	64	192	613.09375	189	610.7936507936508	3	758.0	0	0.453125	544.6206896551724	357.046875	256.046875	221.046875	1	32	96	623.1354166666666	94	619.3510638297872	2	801.0	0	0.5	556.125	322.9375	300.19791666666663	266.5625	1	32	96	603.0520833333334	95	602.3263157894737	1	672.0	0	0.40625	530.4615384615385	391.15625	211.89583333333337	172.03125	1	32	96	605.3020833333334	94	598.5744680851063	2	921.5	0	0.46875	536.6	354.71875	250.58333333333337	229.8125	1	32	96	620.8854166666666	95	622.8842105263158	1	431.0	0	0.4375	553.2142857142857	359.375	261.51041666666663	207.625
90	1	64	192	533.1243243243243	154	581.2597402597403	4	478.75	4	0.5625	385.51428571428573	253.90625	270.7107712765958	281.84375	1	32	96	479.6043956043956	64	568.9375	2	559.5	2	0.6875	309.14285714285717	189.0625	275.23537234042556	403.25	1	32	96	584.936170212766	90	590.0222222222222	2	398.0	2	0.4375	500.07142857142856	318.75	266.186170212766	168.8125	1	32	96	574.5591397849462	84	593.1904761904761	3	476.3333333333333	3	0.4375	480.84615384615387	290.625	283.9341397849462	195.375	1	32	96	491.2391304347826	70	566.9428571428572	1	486.0	1	0.6875	329.1818181818182	217.1875	258.5388157894737	362.4375
93	1	64	192	731.1081081081081	176	736.7428571428571	1	1174.0	6	0.453125	515.1785714285714	296.625	430.55241935483866	370.5625	1	32	96	689.7777777777778	85	700.3095238095239	0		5	0.5625	502.7647058823529	245.84375	436.35405219780216	429.78125	1	32	96	770.2631578947369	91	770.3736263736264	1	1174.0	1	0.34375	534.3636363636364	347.40625	422.8569078947369	315.1875	1	32	96	773.8387096774194	91	771.4222222222222	0		2	0.4375	502.9230769230769	328.125	437.48138297872345	360.9375	1	32	96	687.9130434782609	85	700.0235294117647	1	1174.0	4	0.46875	525.8	265.125	422.7880434782609	357.9375
94	1	64	192	654.1242937853108	169	668.7222222222222	3	767.3333333333334	3	0.453125	613.2272727272727	270.609375	341.9832175925926	331.03125	1	32	96	648.6813186813187	89	653.448275862069	1	746.0	1	0.40625	609.4545454545455	274.0	347.36842105263156	297.375	1	32	96	659.8837209302326	80	686.44	2	778.0	2	0.5	617.0	267.21875	336.5046542553191	388.28125	0	32	96	673.065934065934	88	682.1071428571429	2	734.5	0	0.40625	698.8888888888889	332.84375			1	32	96	634.0813953488372	81	654.3076923076923	1	833.0	3	0.5	553.9230769230769	208.375	377.97983870967744	371.625
95	1	64	192	765.5133689839572	187	766.2849462365591	0		0	0.34375	644.4090909090909	386.203125	359.375	260.109375	1	32	96	776.5268817204301	93	776.5268817204301	0		0	0.34375	626.5454545454545	356.25	396.01041666666663	292.0625	1	32	96	754.6170212765958	94	756.0430107526881	0		0	0.34375	662.2727272727273	416.15625	322.73958333333337	228.84375	1	32	96	809.6344086021505	93	811.6739130434783	0		0	0.34375	700.0	425.0	359.33333333333337	264.625	1	32	96	721.8617021276596	94	721.8617021276596	0		0	0.34375	588.8181818181819	347.40625	359.41666666666663	273.25
96	1	64	192	429.08947368421053	170	446.7	1	582.0	2	0.671875	387.1904761904762	165.109375	263.98009868421053	299.53125	0	32	96	435.11578947368423	84	456.6666666666667	1	582.0	1	0.65625	437.23809523809524	176.5625			1	32	96	423.06315789473683	86	436.9651162790698	0		1	0.6875	337.14285714285717	153.65625	269.40690789473683	308.84375	1	32	96	416.2291666666667	84	437.79761904761904	0		0	0.625	398.55	206.25	209.97916666666669	251.75	1	32	96	442.22340425531917	86	455.3953488372093	1	582.0	2	0.71875	376.8636363636364	123.96875	318.25465425531917	366.03125
101	1	64	192	480.0052356020942	174	486.8554913294798	2	298.0	0	0.65625	430.8780487804878	135.953125	341.5520833333333	366.734375	1	32	96	497.46875	84	505.4404761904762	1	306.0	0	0.65625	431.75	125.53125	371.9375	401.53125	1	32	96	462.3578947368421	90	469.314606741573	1	290.0	0	0.65625	430.04761904761904	146.375	311.1666666666667	332.6875	1	32	96	487.7083333333333	86	492.0581395348837	1	290.0	0	0.59375	450.63157894736844	157.8125	329.8958333333333	336.40625	1	32	96	472.22105263157897	88	481.71264367816093	1	306.0	0	0.71875	413.8181818181818	114.09375	353.2083333333333	407.875
103	1	64	192	622.5135135135135	158	645.891719745223	3	808.3333333333334	4	0.84375	558.6862745098039	96.984375	515.5954122340426	804.734375	1	32	96	585.763440860215	80	593.25	1	1330.0	3	0.75	519.5833333333334	103.1875	482.57594086021504	567.5625	1	32	96	659.6630434782609	78	700.5844155844156	2	547.5	1	0.9375	593.4444444444445	90.78125	548.0503289473684	1047.03125	1	32	96	663.1182795698925	83	674.5903614457832	1	641.0	3	0.84375	534.7407407407408	95.40625	567.7120295698925	939.0625	0	32	96	581.4673913043479	75	613.7027027027027	2	892.0	1	0.84375	585.625	98.5625		
104	1	64	192	654.6230366492147	179	665.1284916201117	3	814.6666666666666	1	0.625	637.575	205.484375	449.13866164921467	490.265625	0	32	96	610.4947368421052	88	624.7045454545455	1	593.0	1	0.71875	649.3478260869565	131.78125			1	32	96	698.2916666666666	91	704.2197802197802	2	925.5	0	0.53125	621.6470588235294	279.1875	419.10416666666663	416.75	1	32	96	638.6315789473684	89	653.2471910112359	0		1	0.625	615.9	167.71875	470.91282894736844	515.53125	1	32	96	670.4479166666666	90	676.8777777777777	3	814.6666666666666	0	0.625	659.25	243.25	427.19791666666663	472.5
106	1	64	192	681.7150537634409	149	699.6598639455782	12	543.1818181818181	3	0.46875	640.5862068965517	269.28125	401.61292989417984	384.90625	0	32	96	650.063829787234	78	673.3116883116883	3	492.0	1	0.46875	660.5333333333333	250.53125			1	32	96	714.054347826087	71	728.6428571428571	9	562.375	2	0.46875	619.2142857142857	288.03125	410.83045212765956	385.8125	1	32	96	622.6489361702128	77	651.6184210526316	3	284.0	1	0.46875	543.4	237.5	378.59473684210525	361.5	0	32	96	742.0652173913044	72	751.0845070422536	9	640.375	2	0.46875	744.7142857142857	301.0625		
107	1	64	192	790.6647727272727	167	801.5748502994012	1	751.0	16	0.359375	706.0869565217391	392.453125	398.21164772727275	324.546875	1	32	96	848.2093023255813	82	858.609756097561	0		10	0.375	662.1666666666666	350.0	498.20930232558135	392.75	0	32	96	735.6777777777778	85	746.5529411764705	1	751.0	6	0.34375	754.0	434.90625			1	32	96	778.5113636363636	84	786.9047619047619	1	751.0	8	0.40625	694.5384615384615	396.875	381.6363636363636	323.5	1	32	96	802.8181818181819	83	816.4216867469879	0		8	0.3125	721.1	388.03125	414.78693181818187	323.40625
