sub	ses	block	earth_rt_mean	earth_rt_median	earth_n_miss	earth_p_miss	planet_rt_mean	planet_rt_median	planet_n_miss	planet_p_miss	reward_rate	avg_reward	reward_rate_corrected	prob_sameplanet_earthsame	prob_sameplanet_earthdif
47	1	b2	890.583	773.066	0	0.0	908.096	832.546	0	0.0	3.48	3.16	0.32	0.417	0.462
47	1	b3	856.028	795.494	0	0.0	739.549	635.45	0	0.0	5.12	4.18	0.94	0.778	0.571
47	1	b4	869.374	779.396	0	0.0	786.974	682.968	1	0.04	5.333	4.48	0.853	0.909	0.615
48	1	b1	811.743	797.144	2	0.08	783.766	714.61	2	0.08	5.0	4.42	0.58	0.667	0.636
48	1	b2	933.31	841.425	0	0.0	666.418	601.797	0	0.0	5.76	4.56	1.2	0.636	0.929
48	1	b3	802.296	730.181	0	0.0	731.953	614.04	0	0.0	2.92	3.12	-0.2	0.538	0.417
48	1	b4	845.687	894.17	1	0.04	584.409	497.429	2	0.08	4.0	4.66	-0.66	0.778	0.571
49	1	b1	712.75	680.108	0	0.0	608.976	538.655	1	0.04	4.667	4.98	-0.313	0.333	0.556
49	1	b2	786.336	709.071	0	0.0	644.857	553.163	0	0.0	4.96	5.08	-0.12	0.562	0.444
49	1	b3	777.754	662.841	0	0.0	612.828	564.078	0	0.0	3.68	3.1	0.58	0.375	0.556
49	1	b4	858.823	783.258	1	0.04	609.444	422.092	1	0.04	4.042	4.08	-0.038	0.533	0.667
51	1	b1	877.16	802.773	2	0.08	578.241	477.17	2	0.08	4.565	4.1	0.465	0.471	0.167
51	1	b2	1088.403	1069.842	1	0.04	480.593	456.243	2	0.08	5.957	5.68	0.277	0.357	0.444
51	1	b3	776.704	737.633	1	0.04	466.843	376.252	1	0.04	4.208	4.32	-0.112	0.455	0.308
51	1	b4	996.538	884.326	1	0.04	529.89	451.517	1	0.04	3.792	3.66	0.132	0.357	0.5
52	1	b1	700.431	656.344	5	0.2	848.338	536.449	7	0.28	5.111	4.72	0.391	0.556	0.667
52	1	b2	938.708	789.124	2	0.08	682.577	611.277	3	0.12	3.727	4.0	-0.273	0.182	0.455
52	1	b3	796.813	704.601	2	0.08	712.362	708.457	3	0.12	3.818	4.16	-0.342	0.364	0.273
52	1	b4	988.15	887.533	1	0.04	621.025	523.925	2	0.08	5.0	5.16	-0.16	0.417	0.636
54	1	b1	1030.696	900.854	1	0.04	725.019	679.323	1	0.04	3.125	3.08	0.045	0.267	0.111
54	1	b2	1091.408	1069.601	2	0.08	865.079	784.76	3	0.12	3.727	3.4	0.327	0.6	0.333
54	1	b3	1003.163	922.339	0	0.0	863.677	773.441	0	0.0	5.32	5.0	0.32	0.818	0.357
54	1	b4	965.85	945.091	1	0.04	780.518	754.674	1	0.04	4.792	4.22	0.572	0.5	0.357
55	1	b1	689.334	691.78	0	0.0	640.502	632.482	0	0.0	4.12	3.18	0.94	0.533	0.9
55	1	b2	701.844	687.195	0	0.0	571.824	561.887	0	0.0	2.92	2.66	0.26	0.667	0.562
55	1	b3	734.512	731.805	0	0.0	599.06	595.567	0	0.0	6.6	5.38	1.22	0.7	0.667
55	1	b4	824.449	793.188	1	0.04	611.102	561.719	1	0.04	3.833	3.78	0.053	0.615	0.545
56	1	b1	854.857	823.776	0	0.0	498.817	487.836	0	0.0	2.72	3.06	-0.34	0.615	0.5
56	1	b2	926.435	875.397	0	0.0	444.122	419.735	0	0.0	4.32	4.54	-0.22	0.444	0.312
56	1	b3	1062.922	1038.535	0	0.0	476.035	458.495	1	0.04	6.0	4.52	1.48	0.667	0.5
56	1	b4	940.807	876.54	0	0.0	436.393	423.116	0	0.0	6.24	5.6	0.64	0.462	0.917
57	1	b1	857.128	806.996	0	0.0	620.955	532.218	2	0.08	2.348	2.76	-0.412	0.545	0.25
57	1	b2	894.283	856.864	3	0.12	705.147	730.598	3	0.12	2.864	2.72	0.144	0.4	0.333
57	1	b3	858.339	876.906	0	0.0	510.411	512.982	1	0.04	3.417	2.72	0.697	0.3	0.571
57	1	b4	828.801	756.09	2	0.08	363.346	277.074	2	0.08	2.696	2.48	0.216	0.455	0.25
68	1	b1	499.968	344.211	0	0.0	670.286	618.648	0	0.0	5.56	5.62	-0.06	0.467	0.3
68	1	b2	612.973	558.339	1	0.04	789.478	692.021	1	0.04	5.792	6.1	-0.308	0.294	0.429
68	1	b3	872.102	701.582	0	0.0	685.984	625.474	2	0.08	3.174	3.54	-0.366	0.4	0.308
68	1	b4	576.646	520.801	0	0.0	780.491	706.695	0	0.0	5.16	5.18	-0.02	0.333	0.385
69	1	b1	967.155	734.104	1	0.04	1038.205	1036.39	1	0.04	4.167	4.7	-0.533	0.5	0.667
69	1	b2	955.523	970.594	2	0.08	929.999	771.157	4	0.16	4.952	5.32	-0.368	0.273	0.3
69	1	b3	796.095	745.951	2	0.08	677.895	613.288	2	0.08	6.0	5.48	0.52	0.4	0.462
69	1	b4	833.246	813.224	1	0.04	724.22	629.902	1	0.04	4.667	4.46	0.207	0.2	0.643
70	1	b1	971.552	826.761	1	0.04	855.167	796.009	1	0.04	4.542	4.46	0.082	0.364	0.308
70	1	b2	1008.1	836.623	2	0.08	614.893	630.768	2	0.08	4.652	4.06	0.592	0.333	0.545
70	1	b3	934.294	870.809	0	0.0	709.78	641.577	1	0.04	5.167	5.44	-0.273	0.692	0.727
70	1	b4	1036.291	974.384	3	0.12	623.906	647.506	3	0.12	5.409	4.38	1.029	0.455	0.545
71	1	b1	960.017	775.911	0	0.0	809.968	787.424	1	0.04	2.458	2.6	-0.142	0.588	0.571
71	1	b2	876.82	779.662	1	0.04	800.61	687.94	3	0.12	4.682	5.52	-0.838	0.5	0.357
71	1	b3	753.746	718.974	2	0.08	756.226	529.162	5	0.2	3.7	4.62	-0.92	0.364	0.444
71	1	b4	721.08	603.915	1	0.04	728.833	676.817	2	0.08	4.043	4.18	-0.137	0.6	0.231
72	1	b1	742.313	719.78	0	0.0	597.101	560.302	0	0.0	4.4	5.04	-0.64	0.545	0.571
72	1	b2	697.148	685.818	0	0.0	549.897	533.934	0	0.0	4.04	3.82	0.22	0.4	0.5
72	1	b3	635.295	604.995	0	0.0	517.214	526.705	0	0.0	3.56	3.94	-0.38	0.364	0.5
72	1	b4	566.205	553.336	0	0.0	549.051	507.662	1	0.04	3.5	3.46	0.04	0.556	0.467
73	1	b1	1120.275	1046.183	0	0.0	987.605	975.146	2	0.08	3.217	2.64	0.577	0.462	0.5
73	1	b2	957.065	974.366	0	0.0	1032.951	978.759	0	0.0	5.76	5.1	0.66	0.286	0.273
73	1	b3	933.248	921.602	0	0.0	1025.425	998.955	1	0.04	5.917	5.68	0.237	0.714	0.647
73	1	b4	1026.392	975.491	0	0.0	1139.036	1111.332	3	0.12	5.364	5.34	0.024	0.583	0.4
74	1	b1	1042.799	1003.335	2	0.08	412.147	498.262	2	0.08	4.609	4.26	0.349	0.467	0.25
74	1	b2	1028.881	1096.82	2	0.08	473.328	369.277	2	0.08	3.739	3.34	0.399	0.364	0.333
74	1	b3	521.918	138.426	1	0.04	240.038	39.57	3	0.12	3.5	3.48	0.02	0.75	0.5
74	1	b4	667.392	642.217	1	0.04	112.163	28.44	2	0.08	5.217	4.82	0.397	0.615	0.4
75	1	b1	969.305	830.584	1	0.04	597.478	577.079	1	0.04	6.25	5.94	0.31	0.75	0.167
75	1	b2	966.342	895.047	0	0.0	540.402	479.416	1	0.04	4.25	3.92	0.33	0.455	0.385
75	1	b3	1019.671	941.809	2	0.08	568.2	447.421	3	0.12	3.182	3.18	0.002	0.5	0.438
75	1	b4	970.331	874.524	1	0.04	584.391	443.036	1	0.04	5.292	4.86	0.432	0.615	0.545
77	1	b1	905.415	942.799	2	0.08	608.906	538.504	3	0.12	6.409	6.96	-0.551	0.444	0.615
77	1	b2	739.462	462.33	2	0.08	701.648	606.019	2	0.08	5.826	5.3	0.526	0.444	0.357
